  Oct. 16      41.5        15.7         20.4         5.5       0.0    39.0        2.6        -4.5         19.0           56391.8
  Oct. 15      32.6        13.1         15.3         4.3       0.0    18.8       13.8        11.6         28.3           56386.7
  Oct. 14  *   62.7        23.6         30.6         8.5       0.0   241.4     -178.7        26.7         39.7           56359.4
  Oct. 13      83.3        31.4         40.9        10.9       0.0    12.3       71.0        72.6         69.1           56713.2
  Oct. 12      68.6        26.2         33.2         9.1       0.0     0.0       68.6        63.9         72.7           56572.5
  Oct. 11  *   83.3        31.4         40.9        10.9       0.0     0.0       83.3        42.6         69.9           56436.8
  Oct. 10      89.1        34.1         43.5        11.5       0.0     0.0       89.1        45.0         67.4           56271.8
  Oct.  9      74.4        28.8         35.8         9.7       0.0    23.4       51.0        52.7         70.7           56095.3
  Oct.  8      68.6        26.2         33.2         9.1       0.0    41.0       27.5        65.6         78.3           55994.3
  Oct.  7      89.1        34.1         43.5        11.5       0.0   127.1      -37.9        81.5         89.6           55939.8
  Oct.  6  *   95.0        36.7         46.2        12.2       0.0     0.0       95.0        97.2        106.1           56014.9
  Oct.  5     127.7        49.8         61.5        16.4       0.0     0.0      127.7        89.8        106.0           55826.8
  Oct.  4     115.5        44.6         56.3        14.6       0.0     0.0      115.5        88.7        105.1           55574.0
  Oct.  3     107.2        42.0         51.3        14.0       0.0     0.0      107.2        91.1        107.4           55345.3
  Oct.  2     107.2        42.0         51.3        14.0       0.0    66.6       40.6        97.7        108.8           55133.1
  Oct.  1  *   95.0        36.7         46.2        12.2       0.0    37.0       58.1       115.1        115.4           55052.6
  Sep. 30     121.9        47.2         58.9        15.8       0.0     0.0      121.9       122.2        121.2           54937.7
  Sep. 29     127.7        49.8         61.5        16.4       0.0     0.0      127.7       121.4        100.4           54696.2
  Sep. 28     140.0        55.1         66.7        18.2       0.0     0.0      140.0       123.8         84.6           54443.4
  Sep. 27     127.7        49.8         61.5        16.4       0.0     0.0      127.7       120.0         86.6           54166.2
  Sep. 26      95.0        36.7         46.2        12.2       0.0     1.1       93.9       115.8         87.8           53913.3
  Sep. 25     127.7        49.8         61.5        16.4       0.0     9.7      118.0       120.1         91.8           53727.5
  Sep. 24     139.3        55.1         66.6        17.6       0.0     0.0      139.3        79.4         96.0           53493.9
  Sep. 23     121.2        47.2         58.8        15.2       0.0     0.0      121.2        45.5         98.1           53218.0
  Sep. 22  *  106.5        42.0         51.2        13.4       0.0     0.0      106.5        53.2        101.4           52978.0
  Sep. 21     115.5        44.6         56.3        14.6       0.0     0.0      115.5        59.7        106.2           52767.1
  Sep. 20     106.5        42.0         51.2        13.4       0.0   192.1      -85.6        63.4        110.1           52538.5
  Sep. 19     127.0        49.8         61.4        15.8       0.0   157.3      -30.3       112.6        134.7           52708.0
  Sep. 18     159.9        62.9         76.9        20.1       0.0     0.0      159.9       150.7        151.7           52768.0
  Sep. 17  *  139.3        55.1         66.6        17.6       0.0     0.0      139.3       149.7        150.6           52451.5
  Sep. 16  *  133.8        53.4         64.0        16.4       0.0     0.0      133.8       152.7        149.8           52175.6
  Sep. 15     160.4        64.1         76.8        19.4       0.0     0.0      160.4       156.9        149.1           51910.6
  Sep. 14     160.4        64.1         76.8        19.4       0.0     0.0      160.4       156.9        115.2           51593.1
  Sep. 13     154.5        61.4         74.2        18.8       0.0     0.0      154.5       152.8        113.9           51275.6
  Sep. 12     154.5        61.4         74.2        18.8       0.0     0.0      154.5       151.5        112.6           50969.6
  Sep. 11     154.6        61.5         74.2        18.8       0.0     0.0      154.5       146.9        106.5           50663.7
  Sep. 10     160.4        64.2         76.8        19.4       0.0     0.0      160.4       141.3         85.2           50357.7
  Sep.  9     139.8        56.2         66.5        17.0       0.0     0.0      139.8        73.6         80.9           50040.1
  Sep.  8     148.1        58.9         71.6        17.6       0.0     0.0      148.1        75.0         85.3           49763.4
  Sep.  7     142.4        62.0         64.0        16.4       0.0    10.7      131.7        73.7         89.8           49470.2
  Sep.  6     129.3        55.9         58.8        14.6       0.0     2.9      126.4        66.1         94.3           49209.4
  Sep.  5     157.8        68.6         71.6        17.6       0.0   335.8     -178.0        29.1         96.6           48959.2
  Sep.  4     157.8        68.6         71.6        17.6       0.0    11.1      146.7        88.3        125.3           49311.6
  Sep.  3     142.1        62.4         63.9        15.8       0.0     0.3      141.8        95.6        123.3           49021.2
  Sep.  2     129.7        56.3         58.8        14.6       0.0    36.1       93.5       105.9        118.7           48740.4
  Sep.  1     114.1        50.2         51.1        12.8       0.0   172.5      -58.5       122.6        123.4           48555.3
  Aug. 31     176.8        78.2         79.2        19.4       0.0    59.1      117.7       164.0        131.1           48671.0
  Aug. 30     184.2        81.6         82.0        20.7       0.0     0.6      183.6       162.3        118.2           48437.9
  Aug. 29     192.9        84.7         87.0        21.3       0.0     0.0      192.9       150.9        115.6           48074.4
  Aug. 28     177.2        78.5         79.2        19.4       0.0     0.0      177.2       131.6        113.9           47692.5
  Aug. 27  *  148.8        65.9         66.4        16.4       0.0     0.2      148.6       124.2        108.8           47341.6
  Aug. 26  *  157.5        69.0         71.5        17.0       0.0    48.0      109.5        98.2        102.1           47047.4
  Aug. 25  *  148.8        65.9         66.4        16.4       0.0    22.3      126.5        74.0        107.3           46830.7
  Aug. 24  *  148.8        65.9         66.4        16.4       0.0    52.5       96.3        80.2        104.1           46580.3
  Aug. 23  *  142.6        62.8         63.9        15.8       0.0     2.3      140.2        96.3        112.1           46389.6
  Aug. 22  *  148.8        65.9         66.4        16.4       0.0   130.2       18.6        93.4        111.2           46112.0
  Aug. 21  *  164.1        72.4         74.1        17.6       0.0   175.7      -11.6       105.9        124.2           46075.1
  Aug. 20  *  157.5        69.0         71.5        17.0       0.0     0.0      157.5       140.7        124.9           46098.1
  Aug. 19  *  176.5        78.5         79.1        18.8       0.0     0.0      176.5       127.9        109.8           45786.2
