             ET TOOLBOX REACH SUMMARY

"      Summary for: URGWOM Reach 6 (Bosque, NM to San Acacia gage)     "

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    14843.0 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2016   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2016 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  Nov.  7      38.2        18.7         12.1         7.5       0.0     0.0       38.2      -106.5        -34.3           52749.5
  Nov.  6      35.1        16.3         12.0         6.9       0.0     0.0       35.1      -129.2        -31.5           52673.9
  Nov.  5      36.2        16.4         12.7         7.1       0.0   138.1     -101.9      -124.0        -27.9           52604.3
  Nov.  4      31.4        14.0         11.8         5.7       0.0   379.4     -347.9       -90.2        -10.7           52806.0
  Nov.  3      37.7        16.3         14.5         6.9       0.0   193.8     -156.1        -6.9         28.4           53495.0
  Nov.  2      50.9        21.9         20.0         9.0       0.0   126.0      -75.1        38.0         52.1           53804.0
  Nov.  1      60.9        25.6         25.3        10.0       0.0     0.0       60.9        66.2         68.5           53952.8
  Oct. 31      67.4        28.0         28.1        11.3       0.0     0.0       67.4        68.3         71.0           53832.1
  Oct. 30      68.2        28.0         28.8        11.3       0.0     0.0       68.2        68.8         72.1           53698.7
  Oct. 29      68.6        27.9         29.8        10.9       0.0     0.0       68.6        63.7         72.0           53563.7
  Oct. 28      66.1        25.6         30.4        10.0       0.0     0.0       66.1        66.1         73.2           53427.9
  Oct. 27      71.1        27.9         32.3        10.9       0.0     0.0       71.1        70.7         75.8           53297.0
  Oct. 26      70.1        26.5         33.3        10.3       0.0     0.0       70.1        73.7         78.9           53156.2
  Oct. 25      72.4        27.1         34.6        10.7       0.0    29.9       42.5        75.3         81.9           53017.5
  Oct. 24      81.0        29.4         39.9        11.6       0.0     0.0       81.0        80.3         87.0           52933.3
  Oct. 23      89.1        31.7         45.1        12.3       0.0     0.0       89.1        80.2         88.7           52773.0
  Oct. 22      85.9        30.3         43.6        11.9       0.0     0.0       85.9        80.8         88.0           52596.6
  Oct. 21      78.2        27.1         40.4        10.7       0.0     0.0       78.2        84.2         88.6           52426.5
  Oct. 20      67.4        23.3         34.7         9.4       0.0     0.0       67.4        88.5         90.5           52271.8
  Oct. 19      80.3        27.2         42.1        11.1       0.0     0.0       80.3        93.7         92.9           52138.3
  Oct. 18      92.1        31.8         47.8        12.4       0.0     0.0       92.1        97.3         90.1           51979.2
  Oct. 17     102.9        36.4         52.4        14.2       0.0     0.0      102.9        95.3         73.7           51796.9
  Oct. 16      99.6        35.0         50.8        13.8       0.0     0.0       99.6        93.1         72.0           51593.1
  Oct. 15      93.4        32.7         48.2        12.5       0.0     0.0       93.4        92.6         71.0           51395.8
  Oct. 14      98.3        34.2         50.5        13.6       0.0     0.0       98.3        92.2         71.6           51210.9
  Oct. 13      82.0        28.0         42.7        11.3       0.0     0.0       82.0        82.9         70.4           51016.3
  Oct. 12      92.1        31.8         47.8        12.5       0.0     0.0       92.1        52.1         71.6           50853.9
  Oct. 11      97.1        34.1         49.7        13.3       0.0     0.0       97.1        51.0         72.8           50671.5
  Oct. 10      92.1        31.8         47.8        12.4       0.0     0.5       91.5        49.3         73.1           50479.3
  Oct.  9      73.0        25.7         37.4        10.0       0.0    21.3       51.8        50.9         68.8           50298.1
  Oct.  8      67.4        23.3         34.7         9.4       0.0   139.3      -71.9        57.9         46.0           50195.5
  Oct.  7      86.4        29.5         45.0        11.8       0.0     0.0       86.4        91.1         63.7           50337.8
  Oct.  6      88.8        30.4         46.3        12.1       0.0     0.0       88.8        94.6         64.4           50166.8
  Oct.  5      99.6        35.0         50.8        13.8       0.0     0.0       99.6        96.8         64.0           49991.0
  Oct.  4      86.4        29.5         45.0        11.8       0.0     0.0       86.4        86.6         63.4           49793.7
  Oct.  3      98.3        34.2         50.5        13.6       0.0     3.9       94.4        34.2         65.2           49622.7
  Oct.  2     104.0        36.5         53.2        14.3       0.0     0.2      103.8        36.2         62.0           49435.8
  Oct.  1      99.7        35.0         50.8        13.8       0.0     0.0       99.7        34.2         59.5           49230.2
  Sep. 30      97.1        34.1         49.7        13.3       0.0    48.2       48.9        31.3         59.8           49032.9
  Sep. 29     105.3        37.3         53.5        14.4       0.0   281.1     -175.8        40.2         67.4           48936.1
  Sep. 28     105.3        37.3         53.5        14.5       0.0     0.9      104.4        96.2         98.0           49284.3
  Sep. 27      98.9        35.0         50.7        13.2       0.0     4.8       94.1        87.8        100.5           49077.5
  Sep. 26      85.0        29.4         44.2        11.4       0.0     0.0       85.0        84.8        103.6           48891.3
  Sep. 25      93.4        32.7         48.2        12.6       0.0     0.0       93.4        88.3        106.4           48722.9
