             ET TOOLBOX REACH SUMMARY

      Summary for: URGWOM Reach 7 (San Acacia to San Marcial gage)    

      Vegetation classification: IKONOS 2000 + USU 2001         

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    37642.7 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water    ----- Daily Flow Difference -----
    2004   F  Total   Agriculture    Riparian   Open Water   Urban    Rain      Total    5-Day Avg.  10-Day Avg.    Use To-Date Since      Total    5-Day Avg.  10-Day Avg.
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2004 AC-FT     CFS         CFS          CFS"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------   -------   ----------  -----------
  Dec. 29       5.7         0.0          0.8         4.9       0.0     0.1        5.6         4.3          3.1          126474.2           None        None         None
  Dec. 28       4.5         0.0          0.5         4.0       0.0     0.0        4.5         3.7          3.0          126463.2           None        None         None
  Dec. 27       3.7         0.0          0.4         3.4       0.0     0.0        3.7         3.2          3.1          126454.3           None        None         None
  Dec. 26       3.6         0.0          0.4         3.2       0.0     0.0        3.6         2.0          3.1          126447.0           None        None         None
  Dec. 25       3.9         0.0          0.4         3.5       0.0     0.0        3.9         1.7          2.7          126439.8           None        None         None
  Dec. 24       2.8         0.0          0.3         2.5       0.0     0.0        2.8         2.0          2.6          126432.0           None        None         None
  Dec. 23       2.0         0.0          0.2         1.8       0.0     0.0        2.0         2.4          2.7          126426.5           None        None         None
  Dec. 22       2.3         0.0          0.2         2.0       0.0     4.4       -2.2         2.9          3.0          126422.6           None        None         None
  Dec. 21       3.6         0.0          0.4         3.2       0.0     1.4        2.2         4.2          3.8          126426.9           None        None         None
  Dec. 20       5.1         0.0          0.6         4.5       0.0     0.0        5.1         3.6          4.1          126422.5           None        None         None
  Dec. 19       4.8         0.0          0.6         4.2       0.0     0.0        4.8         3.3          4.1          126412.4           None        None         None
  Dec. 18       4.7         0.0          0.6         4.1       0.0     0.0        4.7         3.0          4.1          126402.9           None        None         None
  Dec. 17       4.2         0.0          0.5         3.6       0.0     0.0        4.2         3.1          4.0          126393.5           None        None         None
  Dec. 16       2.2         0.0          0.3         1.9       0.0     3.1       -0.9         3.3          3.9          126385.2           None        None         None
  Dec. 15       3.6         0.0          0.4         3.1       0.0     0.0        3.6         4.5          3.5          126387.1           None        None         None
  Dec. 14       3.7         0.0          0.4         3.3       0.0     0.0        3.7         4.9          3.5          126380.0           None        None         None
  Dec. 13       4.8         0.0          0.6         4.2       0.0     0.0        4.8         5.2          3.1          126372.7           None        None         None
  Dec. 12       5.5         0.0          0.7         4.8       0.0     0.0        5.5         5.0          3.2          126363.1           None        None         None
  Dec. 11       5.1         0.0          0.6         4.5       0.0     0.0        5.1         4.5          3.2          126352.2           None        None         None
  Dec. 10       5.3         0.0          0.7         4.6       0.0     0.0        5.3         2.5          3.1          126342.1           None        None         None
  Dec.  9       5.2         0.0          0.7         4.5       0.0     0.0        5.2         2.2          3.0          126331.7           None        None         None
  Dec.  8       3.7         0.0          0.5         3.2       0.0     0.0        3.7         1.0          2.7          126321.4           None        None         None
  Dec.  7       3.3         0.0          0.4         2.9       0.0     0.0        3.3         1.5          3.1          126314.0           None        None         None
  Dec.  6       1.9         0.0          0.2         1.7       0.0     6.9       -5.0         1.8          3.6          126307.4           None        None         None
  Dec.  5       5.4         0.0          0.6         4.7       0.0     1.7        3.7         3.8          4.7          126317.4           None        None         None
  Dec.  4       5.4         0.0          0.5         4.8       0.0     6.0       -0.7         3.8          4.9          126310.0           None        None         None
  Dec.  3       6.2         0.0          0.7         5.5       0.0     0.0        6.2         4.4          5.4          126311.3           None        None         None
  Dec.  2       4.9         0.0          0.5         4.4       0.0     0.0        4.9         4.6          5.1          126299.1           None        None         None
  Dec.  1       4.7         0.0          0.5         4.2       0.0     0.0        4.7         5.4          4.9          126289.4           None        None         None
  Nov. 30       3.6         0.0          0.4         3.3       0.0     0.0        3.6         5.7          4.9          126280.1           None        None         None
  Nov. 29       2.8         0.0          0.3         2.5       0.0     0.0        2.8         6.0          4.9          126272.9           None        None         None
  Nov. 28       7.2         0.0          0.8         6.4       0.0     0.0        7.2         6.4          5.6          126267.3           None        None         None
  Nov. 27       8.4         0.0          0.9         7.6       0.0     0.0        8.4         5.5          5.8          126253.1           None        None         None
  Nov. 26       6.5         0.0          0.7         5.8       0.0     0.0        6.5         4.3          5.8          126236.3           None        None         None
  Nov. 25       5.1         0.0          0.6         4.5       0.0     0.0        5.1         4.0          5.0          126223.5           None        None         None
  Nov. 24       4.8         0.0          0.6         4.2       0.0     0.0        4.8         3.7          4.4          126213.4           None        None         None
  Nov. 23       2.9         0.0          0.3         2.6       0.0     0.2        2.7         4.7          0.0          126203.9           None        None         None
  Nov. 22       4.0         0.0          0.4         3.5       0.0     1.3        2.7         6.1        -25.8          126198.6           None        None         None
  Nov. 21       7.8         0.0          3.8         4.0       0.0     3.0        4.8         7.3        -25.0          126193.3           None        None         None
  Nov. 20       9.1         0.0          4.1         5.0       0.0     5.4        3.7         6.0        -24.0          126183.8           None        None         None
  Nov. 19       9.8         0.0          5.1         4.7       0.0     0.0        9.8         5.0        -22.7          126176.4           None        None         None
  Nov. 18       9.6         0.0          4.7         4.9       0.0     0.0        9.6        -4.6        -22.1          126157.1           None        None         None
  Nov. 17       8.5         0.0          4.7         3.8       0.0     0.0        8.5       -57.7        -20.9          126138.2           None        None         None
  Nov. 16       4.4         0.0          1.4         3.0       0.0     6.1       -1.7       -57.3        -19.9          126121.4           None        None         None
  Nov. 15       1.0         0.0          0.3         0.7       0.0     1.9       -0.9       -53.9        -18.0          126124.8           None        None         None
  Nov. 14       1.4         0.0          0.8         0.6       0.0    40.0      -38.7       -50.5        -15.9          126126.6           None        None         None
  Nov. 13       0.8         0.0          0.3         0.6       0.0   256.6     -255.7       -39.5         -9.7          126203.1           None        None         None
  Nov. 12      10.4         0.0          5.1         5.3       0.0     0.0       10.4        16.0         17.7          126709.5           None        None         None
  Nov. 11      15.3         0.0          7.4         7.9       0.0     0.0       15.3        17.6         18.5          126688.9           None        None         None
  Nov. 10      16.4         0.0          8.0         8.4       0.0     0.0       16.4        17.9         18.2          126658.6           None        None         None
  Nov.  9      16.3         0.0          7.0         9.4       0.0     0.0       16.3        18.6         18.9          126626.2           None        None         None
  Nov.  8      21.5         0.0         10.8        10.8       0.0     0.0       21.5        20.0         19.3          126593.8           None        None         None
  Nov.  7      18.4         0.0          8.3        10.1       0.0     0.0       18.4        19.3         20.1          126551.2           None        None         None
  Nov.  6      16.8         0.0          9.4         7.4       0.0     0.0       16.8        19.5         21.0          126514.9           None        None         None
  Nov.  5      20.2         0.0         11.3         8.9       0.0     0.0       20.2        18.5         21.0          126481.6           None        None         None
  Nov.  4      23.2         0.0         12.5        10.7       0.0     0.0       23.2        19.1        -21.0          126441.6           None        None         None
  Nov.  3      18.0         0.0         10.0         8.0       0.0     0.0       18.0        18.6        -21.8          126395.6           None        None         None
  Nov.  2      19.1         0.0         10.6         8.5       0.0     0.0       19.1        20.8        -20.0          126359.9           None        None         None
  Nov.  1      13.9         0.0          8.0         5.9       0.0     1.9       12.0        22.5        -18.3          126322.0           None        None         None
  Oct. 31      23.1         0.0         13.2        10.0       0.0     0.0       23.1        23.4        -16.1          126298.2           None        None         None
  Oct. 30      20.8         0.0         12.6         8.2       0.0     0.0       20.8       -61.2        -14.7          126252.4           None        None         None
  Oct. 29      29.0         0.0         17.2        11.8       0.0     0.0       29.0       -62.1         -5.8          126211.2           None        None         None
  Oct. 28      27.5         0.0         16.9        10.6       0.0     0.0       27.5       -60.8          2.0          126153.7           None        None         None
  Oct. 27      23.7         0.0         15.7         7.9       0.0     7.1       16.6       -59.2          9.3          126099.3           None        None         None
  Oct. 26      22.8         0.0         14.8         7.9       0.0   422.6     -399.8       -55.7         16.3          126066.5           None        None         None
  Oct. 25      17.2         0.0         12.0         5.2       0.0     1.1       16.1        31.9         68.2          126858.1           None        None         None
  Oct. 24      35.7         0.0         23.6        12.0       0.0     0.0       35.7        50.6         79.0          126826.3           None        None         None
  Oct. 23      35.5         0.0         24.6        10.9       0.0     0.0       35.5        64.9         85.5          126755.6           None        None         None
  Oct. 22      36.5         0.0         25.4        11.2       0.0     2.4       34.1        77.8         55.1          126685.3           None        None         None
  Oct. 21      38.0         0.0         26.8        11.2       0.0     0.0       38.0        88.3         63.0          126617.8           None        None         None
  Oct. 20     109.6        61.5         35.0        12.6       0.5     0.0      109.6       104.5         29.4          126542.6           None        None         None
  Oct. 19     107.3        59.0         35.6        12.2       0.5     0.0      107.3       107.5         33.2          126325.7           None        None         None
  Oct. 18     100.1        53.9         35.1        10.6       0.5     0.0      100.1       106.2         37.8          126113.3           None        None         None
  Oct. 17      86.6        46.4         30.9         8.8       0.4     0.0       86.6        32.3         43.7          125915.1           None        None         None
  Oct. 16     119.0        60.5         45.7        12.3       0.5     0.0      119.0        37.7         50.2          125743.7           None        None         None
  Oct. 15     124.5        63.0         48.7        12.3       0.5     0.0      124.5       -45.7         50.3          125508.1           None        None         None
  Oct. 14     100.9        49.1         41.4        10.0       0.4     0.0      100.9       -41.1         21.4          125261.7           None        None         None
  Oct. 13      90.6        43.3         38.5         8.5       0.3   359.9     -269.3       -30.6         29.3          125062.0           None        None         None
  Oct. 12     113.5        54.8         47.8        10.5       0.4     0.0      113.5        55.0         67.9          125595.2           None        None         None
  Oct. 11      64.1        29.5         28.2         6.1       0.3   362.3     -298.2        62.6         73.4          125370.4           None        None         None
  Oct. 10     147.8        70.8         62.7        13.7       0.6     0.0      147.7       146.3        120.0          125960.9           None        None         None
  Oct.  9     153.3        71.2         67.8        13.7       0.6     0.0      153.3        84.0         97.8          125668.4           None        None         None
  Oct.  8     158.7        72.6         71.6        14.0       0.6     0.0      158.7        89.2         75.0          125364.8           None        None         None
  Oct.  7     151.5        67.6         70.2        13.1       0.5     0.0      151.5        80.7         73.2          125050.5           None        None         None
  Oct.  6     145.8        63.8         69.8        11.7       0.5    25.4      120.4        84.2         72.6          124750.5           None        None         None
  Oct.  5     109.7        46.6         54.5         8.4       0.3   273.9     -164.1        93.6         70.8          124512.1           None        None         None
  Oct.  4     179.7        77.8         86.8        14.5       0.6     0.0      179.7       111.7         84.1          124837.1           None        None         None
  Oct.  3     140.8        58.6         71.2        10.6       0.4    24.8      116.0        60.8         61.7          124481.3           None        None         None
  Oct.  2     168.9        71.3         84.2        12.9       0.5     0.0      168.9        65.8         76.1          124251.6           None        None         None
  Oct.  1     167.4        68.8         86.0        12.1       0.5     0.0      167.4        61.1         85.4          123917.2           None        None         None
  Sep. 30     122.3        50.0         63.2         8.7       0.3   196.0      -73.7        48.0         95.9          123585.8           None        None         None
  Sep. 29      91.7        38.3         46.4         6.8       0.3   166.4      -74.7        56.6        129.8          123731.6           None        None         None
  Sep. 28     141.1        57.2         73.3        10.2       0.3     0.0      141.1        62.7        147.7          123879.5           None        None         None
  Sep. 27     187.1        77.8         95.5        13.3       0.6    41.6      145.5        86.4        149.1          123600.2           None        None         None
  Sep. 26     125.2        52.6         63.4         8.8       0.3    23.2      101.9       109.8        165.2          123312.1           None        None         None
  Sep. 25      98.7        39.9         51.8         6.7       0.3   129.7      -30.9       143.8        186.1          123110.3           None        None         None
  Sep. 24     204.1        82.6        106.7        14.2       0.6   248.2      -44.1       203.0        220.7          123171.6           None        None         None
  Sep. 23     259.6       103.0        138.3        17.6       0.7     0.0      259.6       232.8        257.4          123258.9           None        None         None
  Sep. 22     262.3       103.0        141.2        17.5       0.7     0.0      262.3       211.8        260.3          122744.9           None        None         None
  Sep. 21     272.3       105.1        148.3        18.3       0.6     0.0      272.3       220.6        269.4          122225.5           None        None         None
  Sep. 20     265.1       103.8        143.4        17.2       0.7     0.0      265.1       228.4        274.7          121686.3           None        None         None
  Sep. 19     136.5        54.3         73.2         8.6       0.3    32.0      104.5       238.3        283.7          121161.4           None        None         None
  Sep. 18     229.6        90.7        123.3        14.9       0.6    75.0      154.6       282.0        308.6          120954.5           None        None         None
  Sep. 17     306.4       118.2        168.2        19.2       0.8     0.0      306.4       308.7        327.1          120648.4           None        None         None
  Sep. 16     311.4       117.8        173.9        19.0       0.7     0.0      311.4       318.2        328.7          120041.8           None        None         None
  Sep. 15     314.5       120.9        173.8        19.0       0.8     0.0      314.5       321.0        335.0          119425.2           None        None         None
  Sep. 14     323.0       122.3        180.8        19.1       0.8     0.0      323.0       329.1        334.5          118802.6           None        None         None
  Sep. 13     299.0       113.0        167.7        17.7       0.6    10.6      288.5       335.3        304.5          118163.1           None        None         None
  Sep. 12     353.9       134.3        198.3        20.5       0.8     0.0      353.9       345.5        311.3          117591.9           None        None         None
  Sep. 11     325.1       121.7        184.4        18.4       0.7     0.0      325.1       339.2        314.2          116891.2           None        None         None
  Sep. 10     354.9       132.8        201.3        20.0       0.8     0.0      354.9       348.9        317.0          116247.4           None        None         None
  Sep.  9     354.1       134.5        199.1        19.8       0.8     0.0      354.1       340.0        309.0          115544.7           None        None         None
  Sep.  8     339.3       127.0        192.6        19.0       0.7     0.0      339.3       273.8        306.6          114843.5           None        None         None
  Sep.  7     322.3       122.7        181.2        17.7       0.7     0.0      322.3       277.1        291.0          114171.6           None        None         None
  Sep.  6     373.9       139.6        213.4        20.2       0.8     0.0      373.9       289.2        301.3          113533.3           None        None         None
  Sep.  5     310.1       115.9        177.5        16.0       0.7     0.0      310.1       285.1        308.0          112792.9           None        None         None
  Sep.  4     146.3        56.0         81.9         8.1       0.2   123.0       23.2       278.1        318.8          112179.0           None        None         None
  Sep.  3     356.7       132.3        204.7        19.1       0.6     0.9      355.8       339.4        355.3          112133.0           None        None         None
  Sep.  2     383.1       147.6        214.4        20.3       0.8     0.0      383.1       304.8        330.2          111428.4           None        None         None
  Sep.  1     353.2       133.4        200.7        18.4       0.7     0.0      353.2       313.4        331.8          110669.8           None        None         None
  Aug. 31     317.0       118.9        181.9        15.6       0.7    41.8      275.2       330.8        327.3          109970.5           None        None         None
  Aug. 30     356.3       137.1        200.4        18.0       0.8    26.6      329.7       359.4        313.6          109425.6           None        None         None
  Aug. 29     335.3       132.7        185.5        16.4       0.7   152.4      182.9       371.2        312.9          108772.8           None        None         None
  Aug. 28     426.1       163.5        240.5        21.3       0.8     0.0      426.1       355.6        306.0          108410.6           None        None         None
  Aug. 27     440.2       173.2        244.4        21.7       0.9     0.0      440.2       350.1        287.5          107566.9           None        None         None
  Aug. 26     418.1       165.5        232.0        19.6       0.9     0.0      418.1       323.9        262.3          106695.3           None        None         None
  Aug. 25     388.9       155.3        214.3        18.5       0.8     0.0      388.9       267.9        160.1          105867.6           None        None         None
  Aug. 24     210.8        83.5        117.1         9.8       0.4   106.3      104.5       254.5        124.1          105097.5           None        None         None
  Aug. 23     398.9       159.1        220.6        18.4       0.8     0.0      398.9       256.5        146.8          104890.6           None        None         None
  Aug. 22     361.0       141.8        202.0        16.5       0.7    52.1      308.9       224.9        143.5          104100.8           None        None         None
  Aug. 21     333.6       131.4        186.2        15.4       0.6   195.6      138.0       200.7        153.9          103489.2           None        None         None
  Aug. 20     330.5       128.4        186.5        15.1       0.6     8.3      322.2        52.3        183.4          103215.9           None        None         None
  Aug. 19     322.6       126.2        181.3        14.5       0.6   208.0      114.6        -6.2        188.8          102577.9           None        None         None
  Aug. 18     268.0       108.5        147.1        11.8       0.6    27.1      240.9        37.1        222.1          102351.1           None        None         None
  Aug. 17     242.5        97.9        133.1        11.0       0.5    54.9      187.6        62.0        244.2          101874.1           None        None         None
  Aug. 16     138.2        61.6         70.2         6.2       0.3   742.1     -603.8       107.1        265.6          101502.7           None        None         None
  Aug. 15     230.8        98.4        121.6        10.2       0.5   201.2       29.6       314.5        313.0          102698.3           None        None         None
  Aug. 14     331.0       136.9        179.0        14.4       0.7     0.0      331.0       383.8        321.1          102639.6           None        None         None
  Aug. 13     401.2       165.3        217.1        18.1       0.7    35.6      365.6       407.2        330.0          101984.2           None        None         None
  Aug. 12     462.8       192.7        248.5        20.8       0.8    49.9      412.9       426.4        282.2          101260.4           None        None         None
  Aug. 11     433.3       179.6        234.1        18.8       0.8     0.0      433.3       424.1        224.9          100442.8           None        None         None
  Aug. 10     464.0       193.7        249.0        20.6       0.8    87.8      376.2       311.5        233.0           99584.8           None        None         None
  Aug.  9     448.9       190.0        238.4        19.7       0.8     0.9      448.0       258.4        250.1           98839.9           None        None         None
  Aug.  8     472.7       196.7        255.1        20.1       0.9    11.2      461.6       252.7        257.7           97952.8           None        None         None
  Aug.  7     405.3       171.1        216.3        17.1       0.8     3.7      401.6       138.0        261.7           97038.9           None        None         None
  Aug.  6     313.7       130.2        169.6        13.2       0.6   443.6     -129.9        25.8        262.6           96243.8           None        None         None
  Aug.  5     297.7       121.2        163.7        12.3       0.5   187.2      110.5       154.6        304.4           96501.0           None        None         None
  Aug.  4     424.7       178.6        227.6        17.6       0.8     4.9      419.8       241.9        334.3           96282.2           None        None         None
  Aug.  3     286.1       115.2        159.1        11.4       0.5   398.2     -112.1       262.8        316.2           95451.0           None        None         None
  Aug.  2     344.7       141.2        188.9        14.1       0.6   504.2     -159.5       385.4        355.6           95673.0           None        None         None
  Aug.  1     525.2       232.5        268.9        22.8       1.0    10.9      514.3       499.4        372.9           95988.8           None        None         None
  July 31     547.0       243.7        278.7        23.6       1.0     0.0      547.0       454.1        275.9           94970.4           None        None         None
  July 30     524.0       234.2        266.2        22.6       1.0     0.0      524.0       426.8        262.9           93887.4           None        None         None
  July 29     501.4       219.9        259.1        21.4       0.9     0.0      501.4       369.6        252.6           92849.8           None        None         None
  July 28     419.8       191.1        209.9        18.0       0.8     9.4      410.4       325.8        249.9           91857.1           None        None         None
  July 27     326.2       144.7        167.2        13.8       0.5    38.5      287.7       246.3        269.4           91044.5           None        None         None
  July 26     410.4       184.4        207.8        17.4       0.8     0.0      410.4        97.7        304.9           90474.8           None        None         None
  July 25     317.9       135.1        169.2        13.1       0.5    79.9      238.1        99.1        321.2           89662.2           None        None         None
  July 24     288.8       117.5        158.8        12.1       0.4     6.1      282.7       135.6        343.2           89190.8           None        None         None
  July 23     234.0        89.3        135.0         9.4       0.3   221.2       12.8       173.9        370.0           88631.2           None        None         None
  July 22     417.2       189.7        209.0        17.8       0.8   872.5     -455.3       292.4        421.5           88605.8           None        None         None
  July 21     459.1       212.8        225.7        19.7       0.9    41.9      417.2       512.1        484.0           89507.3           None        None         None
  July 20     470.8       214.9        234.9        20.2       0.9    50.0      420.8       543.4        475.5           88681.3           None        None         None
  July 19     550.1       262.8        262.0        24.2       1.1    75.9      474.2       550.7        473.3           87848.0           None        None         None
  July 18     629.3       294.7        306.0        27.4       1.2    24.0      605.3       566.0        464.9           86909.1           None        None         None
  July 17     642.8       304.8        308.6        28.2       1.3     0.0      642.8       550.5        445.9           85710.6           None        None         None
  July 16     573.9       268.9        278.8        25.1       1.1     0.0      573.9       456.0        432.3           84437.8           None        None         None
  July 15     487.5       230.8        234.3        21.5       0.9    30.3      457.3       407.6        425.8           83301.5           None        None         None
  July 14     550.6       257.2        268.2        24.2       1.0     0.0      550.6       395.8        429.4           82396.1           None        None         None
  July 13     527.8       248.6        255.2        23.0       1.0     0.0      527.8       363.8        428.7           81306.0           None        None         None
