"Date","Isleta_mean_daily_div_cfs","SanAcacia_mean_daily_div_cfs","Mean_cfs_SanAcacia","Mean_cfs_BosFarms","Ag_DCU_cfs_5","Riparian_DCU_cfs_5","OpenWater_DCU_cfs_5","Rain_cfs_5","Ag_DCU_cfs_6","Riparian_DCU_cfs_6","OpenWater_DCU_cfs_6","Rain_cfs_6","Ag_DCU_cfs_7","Riparian_DCU_cfs_7","OpenWater_DCU_cfs_7","Rain_cfs_7","Ag_DCU_cfs_8","Riparian_DCU_cfs_8","OpenWater_DCU_cfs_8","Rain_cfs_8","Ag_mn","Rip_mn","OW_mn","Rain_mn","Ag_sum","Rip_sum","OW_sum","Rain_sum"
"2003-01-29",0,508.333333333333,577,NA,19.8,1.2,3.2,0,0.9,0.3,1.4,0,21.5,1.3,5.5,0,0,0.4,2,0,10.55,0.8,3.025,0,42.2,3.2,12.1,0
"2003-01-30",0,NA,577,NA,19.8,1.2,3.2,0,1.1,0.3,1.4,0,27.9,1.6,6.5,0,0,0.6,2.2,0,12.2,0.925,3.325,0,48.8,3.7,13.3,0
"2003-01-31",0,582.458333333333,588,NA,20.2,1.2,3.3,0,1.1,0.3,1.5,0,30,1.8,7.3,0,0,0.6,2.4,0,12.825,0.975,3.625,0,51.3,3.9,14.5,0
"2003-02-01",0,NA,593,NA,20.2,1.2,3.3,0,1.1,0.3,1.4,0,27.9,1.6,6.5,0,0,0.4,2.2,0,12.3,0.875,3.35,0,49.2,3.5,13.4,0
"2003-02-02",0,603.958333333333,586,NA,25.1,1.6,4.7,0,2.1,0.6,2.6,0,37.5,2.3,8.6,0,0,0.7,2.9,0,16.175,1.3,4.7,0,64.7,5.2,18.8,0
"2003-02-03",0,578.833333333333,563,NA,18,1.2,3.1,0,1.5,0.4,1.8,0,31.8,1.9,7.3,0,0,0.4,2.2,0,12.825,0.975,3.6,0,51.3,3.9,14.4,0
"2003-02-04",0,587.625,574,NA,17.6,1.2,3,0,0.9,0.2,1.2,0,22.4,1.3,5.5,0,0,0.3,1.8,0,10.225,0.75,2.875,0,40.9,3,11.5,0
"2003-02-05",0,623.583333333333,616,NA,15.5,1,2.6,0,1.1,0.3,1.5,0,25.9,1.4,6,0,0,0.3,1.8,0,10.625,0.75,2.975,0,42.5,3,11.9,0
"2003-02-06",0,623.8125,621,NA,15.5,1,2.8,0,0.9,0.2,1.2,0,24.5,1.4,5.7,0,0,0.4,1.8,0,10.225,0.75,2.875,0,40.9,3,11.5,0
"2003-02-07",0,636.208333333333,639,NA,12.9,0.9,2.3,0,0.7,0.2,0.9,0,17.2,1.1,4.5,0,0,0.3,1.6,0,7.7,0.625,2.325,0,30.8,2.5,9.3,0
"2003-02-08",0,669.395833333333,692,NA,5.6,0.3,0.8,4,0,0,0.2,0.1,2.6,0.1,0.7,16.7,0,0.1,0.2,0,2.05,0.125,0.475,5.2,8.2,0.5,1.9,20.8
"2003-02-09",0,NA,702,NA,15.5,1,2.8,0,0.9,0.2,1.2,0,22.1,1.2,5.3,0,0,0.4,2,0,9.625,0.7,2.825,0,38.5,2.8,11.3,0
"2003-02-10",0,594.916666666667,583,NA,16.3,1.1,2.9,0,0.9,0.2,1.1,0,22.4,1.4,5.3,0,0,0.4,1.8,0,9.9,0.775,2.775,0,39.6,3.1,11.1,0
"2003-02-11",0,523.395833333333,516,NA,13.8,0.8,2.2,0,0.7,0.2,0.9,0,18.7,1.1,4.7,0,0,0.4,2,0,8.3,0.625,2.45,0,33.2,2.5,9.8,0
"2003-02-12",0,482.729166666667,492,NA,17.3,1.1,3.1,0,0.9,0.2,1.1,0,21.2,1.2,5,0,0,0.3,1.8,0,9.85,0.7,2.75,0,39.4,2.8,11,0
"2003-02-13",0,447.791666666667,458,NA,13.3,0.9,2.4,41.1,0.9,0.2,1.3,5,20.3,1.2,5.4,12.2,0,0.4,2.2,0,8.625,0.675,2.825,14.575,34.5,2.7,11.3,58.3
"2003-02-14",0,436.041666666667,446,NA,10.4,0.7,1.8,3.3,0.8,0.2,0.9,0,20.1,1.2,5.1,2.3,0,0.3,1.6,0,7.825,0.6,2.35,1.4,31.3,2.4,9.4,5.6
"2003-02-15",NA,479.416666666667,500,NA,17.7,1.1,3.1,0,0.9,0.2,1.3,0,25.6,1.5,6.4,0,0,0.4,2.2,0.3,11.05,0.8,3.25,0.075,44.2,3.2,13,0.3
"2003-02-16",0,623.1875,697,NA,20.2,1.2,3.6,0,0.9,0.2,1.4,0,26.3,1.6,6.8,0,0,0.4,2,0,11.85,0.85,3.45,0,47.4,3.4,13.8,0
"2003-02-17",0,621.458333333333,700,NA,21.1,1.2,3.6,0,1.1,0.3,1.5,0,22.4,1.3,5.1,0,0,0.6,2.4,0,11.15,0.85,3.15,0,44.6,3.4,12.6,0
"2003-02-18",NA,701.708333333333,838,NA,9.4,0.6,1.6,0,0.6,0.2,0.8,0,16.9,1,4,0,0,0.4,2,0,6.725,0.55,2.1,0,26.9,2.2,8.4,0
"2003-02-19",0,644.8125,735,NA,21.1,1.5,3.9,0,1.3,0.3,1.8,0,26.2,1.6,6.2,0,0,0.6,2.4,0,12.15,1,3.575,0,48.6,4,14.3,0
"2003-02-20",0,546.0625,582,NA,3.4,0.3,0.5,115.1,0.2,0.1,0.3,4,10.2,0.6,2.6,39,0,0.1,0.6,4,3.45,0.275,1,40.525,13.8,1.1,4,162.1
"2003-02-21",0,473.354166666667,501,NA,25,1.7,4.6,0,1.5,0.4,2.2,0,29.2,1.8,7.2,0,0,0.7,3.1,0,13.925,1.15,4.275,0,55.7,4.6,17.1,0
