"Date","Year","Month","Month.n","Day","Tot_DCU_cfs","Ag_DCU_cfs","Riparian_DCU_cfs","OpenWater_DCU_cfs","Urban_DCU_cfs","Rain_cfs","Tot_URGWOM_cfs","five_day_avg_URGWOM_cfs","ten_day_avg_URGWOM_cfs","Use_to_date_since_Jan1"
2019-12-12,2019,"Dec",12,12,4.9,0,0.6,4.3,0,0,4.9,4.9,5,60323.8
2019-12-11,2019,"Dec",12,11,4.9,0,0.6,4.3,0,0,4.9,5,5,60314.1
2019-12-10,2019,"Dec",12,10,4.9,0,0.6,4.3,0,0,4.9,5,5,60304.4
2019-12-09,2019,"Dec",12,9,4.9,0,0.6,4.3,0,0,4.9,5.4,4.8,60294.7
2019-12-08,2019,"Dec",12,8,4.9,0,0.6,4.3,0,0,4.9,4.5,3.2,60285
2019-12-07,2019,"Dec",12,7,5.6,0,0.7,4.9,0,0,5.6,5,0,60275.3
2019-12-06,2019,"Dec",12,6,4.9,0,0.6,4.3,0,0,4.9,5,-2.4,60264.3
2019-12-05,2019,"Dec",12,5,7,0,0.9,6.1,0,0,7,5,-2.4,60254.6
2019-12-04,2019,"Dec",12,4,5.6,0,0.7,4.9,0,5.6,0,4.1,-2.6,60240.8
2019-12-03,2019,"Dec",12,3,7.7,0,1,6.7,0,0,7.7,1.9,-1.9,60240.8
2019-12-02,2019,"Dec",12,2,5.5,0,0.7,4.8,0,0,5.5,-5,-2.1,60225.6
2019-12-01,2019,"Dec",12,1,4.9,0,0.6,4.3,0,0,4.9,-9.8,-2.1,60214.6
2019-11-30,2019,"Nov",11,30,3.5,0,0.4,3,0,1,2.4,-9.9,-4.8,60205
2019-11-29,2019,"Nov",11,29,4.9,0,0.6,4.3,0,16.1,-11.3,-9.2,-6.3,60200.1
2019-11-28,2019,"Nov",11,28,3.4,0,0.4,3,0,30.1,-26.7,-5.7,-4.3,60222.4
2019-11-27,2019,"Nov",11,27,3.5,0,0.4,3,0,21.9,-18.5,0.9,-0.8,60275.3
2019-11-26,2019,"Nov",11,26,4.9,0,0.6,4.2,0,0.2,4.7,5.6,2.1,60311.8
2019-11-25,2019,"Nov",11,25,5.6,0,0.7,4.8,0,0,5.6,0.3,2.4,60302.6
2019-11-24,2019,"Nov",11,24,6.3,0,0.8,5.5,0,0,6.3,-3.3,2.6,60291.6
2019-11-23,2019,"Nov",11,23,6.3,0,0.8,5.5,0,0,6.3,-2.8,2.7,60279.2
2019-11-22,2019,"Nov",11,22,5.6,0,0.7,4.9,0,0.5,5.1,-2.4,5.1,60266.8
2019-11-21,2019,"Nov",11,21,5.6,0,0.7,4.9,0,27,-21.5,-1.4,6.6,60256.7
2019-11-20,2019,"Nov",11,20,5.6,0,0.7,4.9,0,18.4,-12.9,4.4,11.1,60299.2
2019-11-19,2019,"Nov",11,19,9.8,0,1.3,8.5,0,0.9,8.9,8.5,17.2,60324.7
2019-11-18,2019,"Nov",11,18,8.4,0,1.1,7.3,0,0,8.4,8.2,20.7,60307
2019-11-17,2019,"Nov",11,17,9.8,0,1.3,8.5,0,0,9.8,12.6,23.9,60290.4
2019-11-16,2019,"Nov",11,16,7.7,0,1,6.7,0,0,7.7,14.6,25.4,60271
2019-11-15,2019,"Nov",11,15,7.7,0,1,6.7,0,0,7.7,17.8,10.7,60255.8
2019-11-14,2019,"Nov",11,14,7.7,0,1,6.7,0,0,7.7,25.9,15.8,60240.7
2019-11-13,2019,"Nov",11,13,30.5,22.1,1.1,7.3,0,0,30.5,33.2,20.5,60225.5
2019-11-12,2019,"Nov",11,12,19.3,13.8,0.7,4.9,0,0,19.3,35.1,23,60165.2
2019-11-11,2019,"Nov",11,11,24,13.8,5.4,4.9,0,0,24,36.2,26.2,60126.9
2019-11-10,2019,"Nov",11,10,47.7,27.6,11,9.1,0,0,47.7,3.5,29.6,60079.3
2019-11-09,2019,"Nov",11,9,44.3,24.9,10.9,8.5,0,0,44.3,5.7,28.6,59984.7
2019-11-08,2019,"Nov",11,8,40.1,22.1,10.8,7.3,0,0,40.1,7.9,27.9,59897
2019-11-07,2019,"Nov",11,7,26.5,13.8,7.9,4.9,0,1.7,24.8,10.9,30.7,59817.6
2019-11-06,2019,"Nov",11,6,36.7,19.3,10.7,6.7,0,176.1,-139.4,16.3,32.6,59768.5
2019-11-05,2019,"Nov",11,5,58.6,30.4,18.5,9.7,0,0,58.6,55.7,54.4,60044.4
2019-11-04,2019,"Nov",11,4,55.2,27.6,18.4,9.1,0,0,55.2,51.4,55.6,59928.4
2019-11-03,2019,"Nov",11,3,55.2,27.6,18.4,9.1,0,0,55.2,47.9,56.2,59819.1
2019-11-02,2019,"Nov",11,2,51.7,24.9,18.4,8.5,0,0,51.7,50.6,56.2,59709.9
2019-11-01,2019,"Nov",11,1,57.6,27.6,20.9,9.1,0,0,57.6,49,59.3,59607.4
2019-10-31,2019,"Oct",10,31,37.5,16.6,15.4,5.5,0,0,37.5,53,62,59493.3
2019-10-30,2019,"Oct",10,30,37.5,16.6,15.4,5.5,0,0,37.5,59.7,66.8,59419.1
2019-10-29,2019,"Oct",10,29,68.5,30.4,28.4,9.7,0,0,68.5,64.6,71.6,59345
2019-10-28,2019,"Oct",10,28,44.1,19.3,18.1,6.7,0,0,44.1,61.8,73.2,59209.3
2019-10-27,2019,"Oct",10,27,77.7,33.2,33.5,11,0,0,77.7,69.5,74.4,59122
2019-10-26,2019,"Oct",10,26,70.9,30.4,30.8,9.7,0,0,70.9,71,76.3,58968.2
2019-10-25,2019,"Oct",10,25,61.6,24.9,28.2,8.5,0,0,61.6,73.9,79.6,58827.8
2019-10-24,2019,"Oct",10,24,54.9,22.1,25.6,7.3,0,0,54.9,78.5,83.8,58705.8
2019-10-23,2019,"Oct",10,23,82.6,33.2,38.5,10.9,0,0,82.6,84.6,88.6,58597.1
2019-10-22,2019,"Oct",10,22,85.1,33.2,40.9,10.9,0,0,85.1,79.2,90.7,58433.5
