             ET TOOLBOX REACH SUMMARY

"      Summary for: URGWOM Reach 6 (Bosque, NM to San Acacia gage)     "

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    15067.1 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2014   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2014 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  Nov.  7      48.7        25.1         14.8         8.8       0.0     0.0       48.7        35.1         30.3           49381.2
  Nov.  6      44.9        22.4         14.6         7.9       0.0     0.0       44.9         3.3         31.4           49284.8
  Nov.  5      44.4        22.3         14.6         7.5       0.0     0.0       44.4         4.2         33.1           49195.8
  Nov.  4      40.9        19.5         14.5         6.9       0.0    38.1        2.8         7.1         37.3           49107.9
  Nov.  3      40.9        19.5         14.5         6.9       0.0     6.1       34.8        19.3         45.4           49102.3
  Nov.  2      53.8        25.1         19.9         8.8       0.0   164.0     -110.2        25.6         50.3           49033.5
  Nov.  1      50.1        22.4         19.8         7.9       0.0     1.1       49.1        59.4         69.2           49251.6
  Oct. 31      62.5        27.9         25.2         9.4       0.0     3.3       59.2        62.1         72.1           49154.5
  Oct. 30      63.6        28.0         26.0         9.6       0.0     0.0       63.6        67.4         73.2           49037.2
  Oct. 29      66.2        28.0         28.6         9.6       0.0     0.0       66.2        71.5         62.1           48911.3
  Oct. 28      59.0        25.1         25.1         8.8       0.0     0.0       59.0        75.1         54.0           48780.3
  Oct. 27      62.7        25.2         28.5         9.0       0.0     0.0       62.7        78.9         56.6           48663.5
  Oct. 26      86.1        35.4         38.9        11.8       0.0     0.5       85.6        82.0         59.7           48539.4
  Oct. 25      84.3        33.6         39.2        11.5       0.0     0.0       84.3        79.0         60.6           48369.9
  Oct. 24      84.0        33.5         39.2        11.3       0.0     0.0       84.0        52.6         62.1           48203.1
  Oct. 23      78.1        30.6         37.4        10.0       0.0     0.0       78.1        32.8         62.4           48036.9
  Oct. 22      78.1        30.7         37.4        10.1       0.0     0.0       78.1        34.4         62.0           47882.3
  Oct. 21      70.7        27.0         34.4         9.3       0.0     0.0       70.7        37.5         63.8           47727.7
  Oct. 20      78.1        30.7         37.4        10.0       0.0   126.0      -47.9        42.3         65.3           47587.8
  Oct. 19      78.1        30.7         37.4        10.1       0.0    92.8      -14.7        71.5         68.1           47682.7
  Oct. 18      85.7        32.6         42.1        11.1       0.0     0.0       85.7        92.0         60.2           47711.8
  Oct. 17      93.6        36.3         45.4        11.9       0.0     0.0       93.6        89.7         44.4           47542.1
  Oct. 16      94.7        36.3         46.3        12.1       0.0     0.0       94.7        90.1         45.7           47356.8
  Oct. 15      98.4        38.2         47.8        12.4       0.0     0.0       98.4        88.3         46.9           47169.3
  Oct. 14      87.5        33.5         42.7        11.3       0.0     0.0       87.5        64.6         47.6           46974.4
  Oct. 13      74.4        28.9         35.9         9.7       0.0     0.0       74.4        28.5         50.1           46801.1
  Oct. 12      98.4        38.2         47.8        12.4       0.0     2.9       95.5        -1.0         53.1           46653.8
  Oct. 11      87.5        33.5         42.7        11.3       0.0     1.8       85.7         1.3         53.0           46464.6
  Oct. 10      72.0        27.9         34.7         9.4       0.0    92.3      -20.3         5.4         55.1           46294.9
  Oct.  9      78.1        30.7         37.4        10.0       0.0   171.1      -92.9        30.5         67.1           46335.1
  Oct.  8     105.2        41.0         50.5        13.6       0.0   177.9      -72.8        71.7         79.2           46519.1
  Oct.  7     106.6        42.0         50.8        13.8       0.0     0.0      106.6       107.3         96.4           46663.2
  Oct.  6     106.6        42.0         50.8        13.8       0.0     0.0      106.6       104.7         96.3           46452.1
  Oct.  5     105.2        41.1         50.5        13.6       0.0     0.0      105.2       104.7         96.7           46241.0
  Oct.  4     112.7        44.8         53.5        14.4       0.0     0.0      112.7       103.6         84.1           46032.8
  Oct.  3     105.2        41.1         50.5        13.6       0.0     0.0      105.2        86.7         84.8           45809.6
  Oct.  2      93.7        36.4         45.4        11.9       0.0     0.0       93.7        85.6         85.6           45601.4
  Oct.  1     106.6        42.0         50.8        13.8       0.0     0.0      106.6        87.8         75.0           45415.9
  Sep. 30      99.9        39.2         48.2        12.6       0.0     0.0       99.9        88.8         66.0           45204.8
  Sep. 29      80.3        30.8         39.1        10.4       0.0    52.4       27.9        64.7         67.9           45007.0
  Sep. 28      99.9        39.2         48.2        12.5       0.0     0.0       99.9        83.0         75.7           44951.7
  Sep. 27     104.9        41.9         50.0        13.0       0.0     0.0      104.9        85.6         74.6           44754.0
  Sep. 26     111.4        44.7         52.7        14.1       0.0     0.0      111.4        62.2         48.9           44546.4
  Sep. 25     112.8        44.8         53.5        14.5       0.0   133.5      -20.8        43.2         22.6           44325.7
  Sep. 24     119.5        47.5         57.2        14.9       0.0     0.0      119.5        71.2          9.1           44366.8
  Sep. 23     112.7        44.8         53.5        14.4       0.0     0.0      112.7        68.5         19.9           44130.2
  Sep. 22      98.8        39.1         47.3        12.4       0.0   110.9      -12.1        63.7         19.8           43906.9
  Sep. 21     107.2        42.9         51.1        13.3       0.0    90.6       16.6        35.6         32.3           43930.9
  Sep. 20     119.3        47.5         57.1        14.7       0.0     0.0      119.3         2.1         43.0           43898.0
  Sep. 19     105.9        42.0         50.7        13.2       0.0     0.0      105.9       -53.1         43.0           43661.8
  Sep. 18     112.0        44.8         53.4        13.8       0.0    23.1       88.9       -28.8         42.1           43452.1
  Sep. 17     121.4        47.6         58.8        15.1       0.0   274.3     -152.9       -24.1         43.3           43276.0
  Sep. 16     119.0        47.7         57.0        14.3       0.0   270.0     -150.9        28.9         71.5           43578.7
  Sep. 15     120.9        47.8         58.7        14.4       0.0   277.2     -156.3        83.9         98.1           43877.5
  Sep. 14     227.4        90.1        109.7        27.6       0.0     0.0      227.4       139.0        125.8           44187.0
  Sep. 13     112.3        45.0         53.4        13.8       0.0     0.0      112.3       113.1        109.0           43736.8
  Sep. 12     112.3        45.0         53.4        13.8       0.0     0.0      112.3       110.6        114.3           43514.5
