             ET TOOLBOX REACH SUMMARY

      Summary for: URGWOM Reach 8 (San Marcial to Elephant Butte)     

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    14349.6 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2015   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2015 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  Nov.  8  *   29.4         0.0          6.8        22.7       0.0     0.0       29.4        41.7         33.0           63331.9
  Nov.  7  *   43.8         0.0          8.5        35.3       0.0     0.0       43.8        48.0         30.1           63273.6
  Nov.  6  *   46.8         0.0          8.5        38.3       0.0     0.0       46.8        52.4         32.6           63186.9
  Nov.  5  *   43.2         0.0          8.3        35.0       0.0     0.0       43.2        54.5         35.2           63094.1
  Nov.  4  *   45.1         0.0         10.0        35.1       0.0     0.0       45.1        56.1         37.4           63008.5
  Nov.  3  *   61.1         0.0         13.4        47.7       0.0     0.0       61.1        24.4         39.5           62919.3
  Nov.  2  *   65.6         0.0         14.9        50.7       0.0     0.0       65.6        12.2         39.9           62798.2
  Nov.  1  *   57.7         0.0         13.3        44.4       0.0     0.0       57.7        12.7         39.8           62668.4
  Oct. 31  *   51.0         0.0         13.1        38.0       0.0     0.0       51.0        15.8         40.2           62554.2
  Oct. 30  *   45.8         0.0         11.2        34.6       0.0   159.3     -113.5        18.8         25.8           62453.2
  Oct. 29  *   60.3         0.0         16.2        44.1       0.0    59.8        0.4        54.5         38.9           62677.9
  Oct. 28  *   68.0         0.0         17.8        50.2       0.0     0.0       68.0        67.5         45.6           62677.0
  Oct. 27  *   72.9         0.0         22.6        50.2       0.0     0.0       72.9        67.0         45.8           62542.3
  Oct. 26  *   65.9         0.0         19.3        46.7       0.0     0.0       65.9        64.7         36.6           62398.1
  Oct. 25  *   65.4         0.0         19.2        46.2       0.0     0.0       65.4        32.9         34.0           62267.5
  Oct. 24  *   65.4         0.0         19.2        46.2       0.0     0.0       65.4        23.2         37.3           62138.1
  Oct. 23  *   65.3         0.0         19.2        46.1       0.0     0.0       65.3        23.7         40.5           62008.7
  Oct. 22  *   62.3         0.0         19.2        43.1       0.0     0.9       61.4        24.6         43.2           61879.4
  Oct. 21  *   78.5         0.0         17.5        61.0       0.0   171.6      -93.1         8.5         46.2           61757.8
  Oct. 20  *  120.3         0.0         19.2       101.1       0.0   103.3       17.0        35.2         65.3           61942.1
  Oct. 19  *   69.9         0.0         20.8        49.1       0.0     1.8       68.1        51.4         72.1           61908.5
  Oct. 18  *   69.8         0.0         20.8        49.1       0.0     0.0       69.8        57.3         73.0           61773.6
  Oct. 17  *   65.1         0.0         19.2        45.9       0.0    84.3      -19.1        61.7         73.2           61635.4
  Oct. 16  *   63.3         0.0         17.5        45.8       0.0    23.1       40.2        83.9         76.6           61673.3
  Oct. 15  *   97.9         0.0         30.5        67.5       0.0     0.0       97.9        95.4         64.7           61593.7
  Oct. 14  *   97.8         0.0         30.5        67.4       0.0     0.0       97.8        92.9         55.6           61399.8
  Oct. 13  *   91.9         0.0         30.5        61.4       0.0     0.0       91.9        88.7         49.0           61206.1
  Oct. 12  *   91.8         0.0         30.5        61.4       0.0     0.0       91.8        84.6         28.8           61024.2
  Oct. 11  *   97.7         0.0         30.5        67.2       0.0     0.0       97.7        69.2         31.0           60842.4
  Oct. 10  *   85.2         0.0         27.2        58.0       0.0     0.0       85.2        33.9         32.8           60649.0
  Oct.  9  *   77.2         0.0         22.4        54.8       0.0     0.0       77.2        18.2         34.8           60480.3
  Oct.  8  *   71.2         0.0         22.4        48.8       0.0     0.0       71.2         9.3         38.7           60327.5
  Oct.  7  *   69.5         0.0         20.8        48.7       0.0    54.7       14.8       -27.1         43.5           60186.5
  Oct.  6  *   71.1         0.0         22.4        48.7       0.0   149.8      -78.7        -7.2         53.4           60157.2
  Oct.  5  *   66.5         0.0         20.8        45.7       0.0    59.8        6.7        31.7         71.8           60312.9
  Oct.  4  *   76.1         0.0         27.2        49.0       0.0    43.8       32.3        51.3         80.8           60299.7
  Oct.  3  *   91.5         0.0         30.5        61.0       0.0   202.1     -110.6        68.1         87.2           60235.7
  Oct.  2  *  114.1         0.0         35.1        78.9       0.0     0.0      114.1       114.0        107.8           60454.7
  Oct.  1  *  115.9         0.0         36.8        79.1       0.0     0.0      115.9       114.1        102.3           60228.8
  Sep. 30  *  105.0         0.0         32.1        72.9       0.0     0.0      105.0       112.0         85.1           59999.3
  Sep. 29  *  115.9         0.0         36.8        79.1       0.0     0.0      115.9       110.2         84.2           59791.4
  Sep. 28  *  119.3         0.0         40.0        79.2       0.0     0.0      119.3       106.2         82.2           59561.9
  Sep. 27  *  114.6         0.0         38.4        76.1       0.0     0.0      114.6       101.6         81.7           59325.8
  Sep. 26  *  105.1         0.0         35.1        69.9       0.0     0.0      105.1        90.6         81.6           59098.9
  Sep. 25  *   96.0         0.0         32.1        64.0       0.0     0.0       96.0        58.2         82.8           58890.9
  Sep. 24  *   96.2         0.0         35.1        61.1       0.0     0.0       96.2        58.2         84.7           58700.7
  Sep. 23  *   96.0         0.0         32.1        63.9       0.0     0.0       96.0        58.2         86.8           58510.1
  Sep. 22  *   74.2         0.0         25.5        48.6       0.0    14.7       59.4        61.8         88.8           58320.1
  Sep. 21  *  102.0         0.0         35.1        66.8       0.0   158.5      -56.5        72.7         94.6           58202.4
  Sep. 20  *   96.1         0.0         35.1        60.9       0.0     0.0       96.1       107.4        111.7           58314.2
  Sep. 19  *   96.1         0.0         35.1        60.9       0.0     0.0       96.1       111.1        112.4           58124.0
  Sep. 18  *  117.0         0.0         38.3        78.7       0.0     3.0      114.0       115.3        106.1           57933.9
  Sep. 17  *  114.0         0.0         38.3        75.7       0.0     0.0      114.0       115.7        106.7           57708.1
  Sep. 16  *  116.9         0.0         38.3        78.6       0.0     0.0      116.9       116.5        100.5           57482.3
  Sep. 15  *  114.2         0.0         38.3        75.9       0.0     0.0      114.2       115.9        100.0           57250.7
  Sep. 14  *  117.5         0.0         38.3        79.1       0.0     0.0      117.5       113.7         99.6           57024.6
  Sep. 13  *  119.4         0.0         39.9        79.5       0.0     3.6      115.9        96.9         88.9           56792.0
  Sep. 12  *  118.0         0.0         38.3        79.7       0.0     0.0      118.0        97.6         82.1           56562.6
  Sep. 11  *  114.0         0.0         39.9        74.1       0.0     0.0      114.0        84.5         65.2           56328.9
  Sep. 10  *  104.7         0.0         36.6        68.1       0.0     1.4      103.3        84.0         67.2           56103.1
  Sep.  9  *  109.9         0.0         38.3        71.6       0.0    76.4       33.5        85.4         70.3           55898.6
  Sep.  8  *  119.2         0.0         38.3        80.9       0.0     0.0      119.2        80.9         80.1           55832.3
  Sep.  7  *  114.6         0.0         36.6        78.0       0.0    62.3       52.2        66.6         68.7           55596.2
  Sep.  6  *  111.8         0.0         36.6        75.2       0.0     0.0      111.8        46.0         61.9           55492.8
  Sep.  5  *  110.3         0.0         35.0        75.3       0.0     0.0      110.3        50.4         60.1           55271.5
  Sep.  4  *  101.4         0.0         35.0        66.4       0.0    90.4       11.0        55.1         55.9           55053.0
  Sep.  3  *  111.1         0.0         38.2        72.9       0.0    63.3       47.8        79.2         51.9           55031.2
  Sep.  2  *  130.3         0.0         41.5        88.8       0.0   181.4      -51.0        70.8         59.7           54936.5
  Sep.  1  *  133.7         0.0         44.5        89.2       0.0     0.0      133.7        77.8         72.2           55037.5
  Aug. 31  *  134.0         0.0         41.5        92.5       0.0     0.0      134.0        69.8         73.0           54772.8
  Aug. 30  *  131.5         0.0         44.5        87.0       0.0     0.0      131.5        56.7         72.1           54507.4
  Aug. 29  *  127.7         0.0         39.8        87.9       0.0   121.7        6.0        24.5         73.8           54247.0
  Aug. 28  *  133.9         0.0         44.5        89.4       0.0   150.0      -16.2        48.6         88.7           54235.1
  Aug. 27  *  131.6         0.0         38.2        93.4       0.0    38.0       93.6        66.5        107.2           54267.1
  Aug. 26  *  129.6         0.0         41.4        88.2       0.0    60.9       68.7        76.2        110.4           54081.7
  Aug. 25  *  129.1         0.0         39.8        89.3       0.0   158.7      -29.6        87.5        119.5           53945.8
  Aug. 24  *  135.3         0.0         41.4        93.9       0.0     8.9      126.3       123.2        133.3           54004.4
  Aug. 23  *  122.6         0.0         38.1        84.5       0.0    49.2       73.4       128.9        137.8           53754.3
  Aug. 22  *  142.4         0.0         46.0        96.3       0.0     0.3      142.1       147.8        147.4           53608.8
