             ET TOOLBOX REACH SUMMARY

      Summary for: URGWOM Reach 8 (San Marcial to Elephant Butte)     

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):     9026.1 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2018   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2018 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  Oct. 19  *   21.1         0.0         19.9         1.2       0.0     0.0       21.1        11.4          5.4           64492.1
  Oct. 18  *   12.3         0.0         11.6         0.7       0.0     2.4        9.9        11.2          4.3           64450.3
  Oct. 17  *   16.7         0.0         15.8         1.0       0.0     0.0       16.7         2.2          2.5           64430.7
  Oct. 16  *    8.6         0.0          8.2         0.4       0.0     9.8       -1.2       -10.0         -0.6           64397.6
  Oct. 15  *   10.2         0.0          9.6         0.6       0.0     0.0       10.2        -4.2          2.5           64399.9
  Oct. 14  *   20.3         0.0         19.2         1.1       0.0     0.0       20.3        -0.6          7.8           64379.7
  Oct. 13  *   22.7         0.0         21.4         1.3       0.0    57.9      -35.2        -2.6         12.7           64339.5
  Oct. 12  *   20.3         0.0         19.2         1.1       0.0    64.3      -43.9         2.8         23.2           64409.1
  Oct. 11  *   27.8         0.0         26.2         1.6       0.0     0.0       27.8         8.8         33.4           64496.1
  Oct. 10  *   28.2         0.0         26.6         1.6       0.0     0.0       28.2         9.2         33.3           64441.1
  Oct.  9  *   22.9         0.0         21.6         1.3       0.0    12.9       10.0        16.2         37.7           64385.3
  Oct.  8  *   21.2         0.0         19.9         1.2       0.0    29.1       -7.9        28.1         44.1           64365.4
  Oct.  7  *   27.8         0.0         26.2         1.6       0.0    42.0      -14.1        43.5         52.3           64381.1
  Oct.  6  *   29.9         0.0         28.2         1.7       0.0     0.0       29.9        58.1         60.6           64409.1
  Oct.  5  *   63.1         0.0         31.5        31.7       0.0     0.0       63.1        57.4         62.1           64349.8
  Oct.  4  *   69.4         0.0         33.3        36.1       0.0     0.0       69.4        59.3         52.0           64224.8
  Oct.  3  *   69.2         0.0         33.3        35.9       0.0     0.0       69.2        60.2         52.5           64087.4
  Oct.  2  *   61.1         0.0         29.8        31.2       0.0     2.3       58.8        61.1         52.0           63950.4
  Oct.  1  *   57.9         0.0         28.2        29.6       0.0    31.2       26.7        63.2         53.0           63834.0
  Sep. 30  *   72.3         0.0         36.3        35.9       0.0     0.0       72.3        66.8         57.1           63781.1
  Sep. 29  *   73.9         0.0         36.5        37.4       0.0     0.0       73.9        44.8         35.0           63637.9
  Sep. 28  *   73.9         0.0         36.5        37.4       0.0     0.0       73.9        44.8         24.6           63491.6
  Sep. 27  *   69.1         0.0         33.3        35.7       0.0     0.0       69.1        42.9         25.5           63345.4
  Sep. 26  *   48.1         0.0         23.3        24.8       0.0     3.0       45.1        42.7         24.1           63208.7
  Sep. 25  *   68.6         0.0         33.3        35.2       0.0   106.6      -38.0        47.5         27.6           63119.5
  Sep. 24  *   73.8         0.0         36.5        37.3       0.0     0.0       73.8        25.1         39.8           63194.8
  Sep. 23  *   64.6         0.0         31.6        33.1       0.0     0.0       64.6         4.4         41.2           63048.6
  Sep. 22  *   68.3         0.0         33.2        35.0       0.0     0.0       68.3         8.0         43.6           62920.6
  Sep. 21  *   68.6         0.0         33.1        35.5       0.0     0.0       68.6         5.5         46.0           62785.5
  Sep. 20  *   42.8         0.0         20.1        22.7       0.0   192.4     -149.6         7.8         47.7           62649.7
  Sep. 19  *   65.8         0.0         31.6        34.2       0.0    95.7      -29.9        54.5         71.6           62945.8
  Sep. 18  *   82.6         0.0         39.8        42.9       0.0     0.0       82.6        78.1         78.4           63005.0
  Sep. 17  *   55.6         0.0         41.4        14.2       0.0     0.0       55.6        79.2         78.4           62841.4
  Sep. 16  *   80.2         0.0         38.1        42.1       0.0     0.0       80.2        86.5         80.4           62731.3
  Sep. 15  *   84.1         0.0         39.8        44.3       0.0     0.0       84.1        87.5         71.9           62572.5
  Sep. 14  *   87.9         0.0         41.4        46.4       0.0     0.0       87.9        88.7         68.0           62406.0
  Sep. 13  *   88.3         0.0         41.5        46.8       0.0     0.0       88.3        78.7         67.6           62232.1
  Sep. 12  *   92.1         0.0         43.1        49.0       0.0     0.0       92.1        77.5         65.8           62057.3
  Sep. 11  *   87.5         0.0         41.3        46.2       0.0     2.1       85.3        74.4         62.8           61874.9
  Sep. 10  *   90.0         0.0         41.4        48.6       0.0     0.0       90.0        56.4         45.1           61705.9
  Sep.  9  *   90.6         0.0         41.5        49.2       0.0    52.9       37.8        47.4         46.1           61527.7
  Sep.  8  *   82.2         0.0         38.0        44.2       0.0     0.0       82.2        56.4         53.0           61452.9
  Sep.  7  *   76.5         0.0         35.3        41.2       0.0     0.1       76.4        54.1         55.7           61290.1
  Sep.  6  *   74.8         0.0         33.1        41.7       0.0    79.5       -4.7        51.3         58.9           61138.8
  Sep.  5  *   87.9         0.0         39.9        48.1       0.0    42.8       45.1        33.9         69.2           61148.0
  Sep.  4  *   84.8         0.0         38.0        46.8       0.0     1.8       83.0        44.8         74.0           61058.7
  Sep.  3  *   85.3         0.0         38.0        47.3       0.0    14.7       70.7        49.5         75.1           60894.4
  Sep.  2  *   82.1         0.0         36.2        45.9       0.0    19.6       62.5        57.3         74.2           60754.5
  Sep.  1  *   90.1         0.0         39.5        50.6       0.0   181.8      -91.7        66.5         69.9           60630.8
  Aug. 31  *  100.4         0.0         43.1        57.3       0.0     0.9       99.5       104.5         67.2           60812.4
  Aug. 30  *  107.4         0.0         47.7        59.7       0.0     0.8      106.7       103.2         67.7           60615.3
  Aug. 29  *  109.4         0.0         47.9        61.5       0.0     0.0      109.4       100.6         68.2           60404.1
