             ET TOOLBOX REACH SUMMARY

      Summary for: URGWOM Reach 8 (San Marcial to Elephant Butte)     

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    13163.6 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2014   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2014 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  Dec. 31  *   28.2         0.0          0.6        27.5       0.0     8.3       19.9        -8.9        -11.5           59082.5
  Dec. 30  *   28.2         0.0          0.6        27.5       0.0    45.2      -17.0       -17.1        -14.4           59043.2
  Dec. 29  *   36.0         0.0          0.7        35.3       0.0    45.2       -9.2       -14.7        -14.5           59076.9
  Dec. 28  *   28.0         0.0          0.6        27.4       0.0    45.2      -17.2       -16.4        -15.3           59095.0
  Dec. 27  *   24.1         0.0          0.6        23.5       0.0    45.2      -21.1       -17.2        -15.4           59129.1
  Dec. 26  *   24.2         0.0          0.7        23.5       0.0    45.2      -20.9       -14.1        -14.7           59170.8
  Dec. 25  *   39.9         0.0          1.1        38.8       0.0    45.2       -5.3       -11.8        -14.0           59212.3
  Dec. 24  *   27.8         0.0          0.7        27.1       0.0    45.2      -17.3       -14.3        -14.9           59222.7
  Dec. 23  *   23.9         0.0          0.6        23.3       0.0    45.2      -21.3       -14.3        -14.6           59257.0
  Dec. 22  *   39.5         0.0          1.1        38.5       0.0    45.2       -5.6       -13.6        -13.2           59299.2
  Dec. 21  *   35.6         0.0          1.1        34.6       0.0    45.2       -9.5       -15.3        -13.4           59310.3
  Dec. 20  *   27.7         0.0          0.9        26.8       0.0    45.2      -17.5       -16.2        -13.2           59329.2
  Dec. 19  *   27.5         0.0          0.9        26.7       0.0    45.2      -17.6       -15.6        -12.1           59363.8
  Dec. 18  *   27.4         0.0          0.9        26.6       0.0    45.2      -17.7       -15.0        -11.2           59398.8
  Dec. 17  *   31.0         0.0          0.9        30.1       0.0    45.2      -14.2       -12.9        -10.2           59433.9
  Dec. 16  *   31.2         0.0          1.1        30.2       0.0    45.2      -14.0       -11.4         -9.6           59462.0
  Dec. 15  *   30.7         0.0          0.9        29.8       0.0    45.2      -14.5       -10.1         -9.0           59489.6
  Dec. 14  *   30.6         0.0          0.9        29.7       0.0    45.2      -14.6        -8.7         -8.4           59518.2
  Dec. 13  *   38.0         0.0          1.1        37.0       0.0    45.2       -7.2        -7.3        -10.5           59547.1
  Dec. 12  *   38.1         0.0          1.2        36.9       0.0    45.2       -7.1        -7.5         -6.1           59561.2
  Dec. 11  *   37.9         0.0          1.2        36.7       0.0    45.2       -7.3        -7.7         -5.0           59575.3
  Dec. 10  *   37.8         0.0          1.2        36.6       0.0    45.2       -7.4        -7.9         -0.3           59589.6
  Dec.  9  *   37.4         0.0          1.1        36.3       0.0    45.2       -7.8        -8.1          4.8           59604.3
  Dec.  8  *   37.2         0.0          1.1        36.2       0.0    45.2       -8.0       -13.6          9.9           59619.7
  Dec.  7  *   37.3         0.0          1.2        36.1       0.0    45.2       -7.9        -4.8         15.0           59635.5
  Dec.  6  *   36.9         0.0          1.1        35.8       0.0    45.2       -8.3        -2.3         19.0           59651.2
  Dec.  5  *   36.7         0.0          1.1        35.7       0.0    45.2       -8.5         7.3         23.1           59667.6
  Dec.  4  *   29.6         0.0          1.1        28.6       0.0    64.9      -35.3        17.7         26.4           59684.4
  Dec.  3  *   40.1         0.0          1.2        38.9       0.0     3.9       36.2        33.4         32.7           59754.2
  Dec.  2  *   32.6         0.0          0.9        31.7       0.0    28.1        4.5        34.7         33.0           59682.5
  Dec.  1  *   39.7         0.0          1.2        38.6       0.0     0.0       39.7        40.3         36.3           59673.6
  Nov. 30  *   43.2         0.0          1.3        41.9       0.0     0.0       43.2        38.8         36.2           59594.9
  Nov. 29  *   43.4         0.0          1.5        41.9       0.0     0.0       43.4        35.1         35.6           59509.4
  Nov. 28  *   42.6         0.0          1.2        41.4       0.0     0.0       42.6        32.0         34.4           59423.4
  Nov. 27  *   32.4         0.0          1.2        31.2       0.0     0.0       32.4        31.2         32.9           59339.1
  Nov. 26  *   32.2         0.0          1.2        31.0       0.0     0.0       32.2        32.4         32.3           59275.0
  Nov. 25  *   24.9         0.0          0.9        24.0       0.0     0.0       24.9        33.6         30.5           59211.1
  Nov. 24  *   28.1         0.0          0.9        27.2       0.0     0.0       28.1        36.2         32.1           59161.9
  Nov. 23  *   38.5         0.0          1.2        37.3       0.0     0.0       38.5        36.7         33.3           59106.3
  Nov. 22  *   38.3         0.0          1.2        37.1       0.0     0.0       38.3        34.5         32.4           59030.1
  Nov. 21  *   38.1         0.0          1.2        36.9       0.0     0.0       38.1        32.3         32.7           58954.3
  Nov. 20  *   38.0         0.0          1.2        36.8       0.0     0.0       38.0        27.4         34.2           58878.8
  Nov. 19  *   30.9         0.0          0.9        30.0       0.0     0.0       30.9        27.9         36.1           58803.6
  Nov. 18  *   27.4         0.0          0.9        26.5       0.0     0.0       27.4        29.8         38.4           58742.5
  Nov. 17  *   27.0         0.0          0.7        26.3       0.0     0.0       27.0        30.3         40.1           58688.2
  Nov. 16  *   30.5         0.0          0.9        29.6       0.0    16.8       13.8        33.2         42.9           58634.7
  Nov. 15  *   40.6         0.0          1.3        39.3       0.0     0.0       40.6        41.0         46.5           58607.5
  Nov. 14  *   40.4         0.0          1.3        39.1       0.0     0.0       40.4        44.3         47.1           58527.1
  Nov. 13  *   29.9         0.0          3.8        26.1       0.0    -0.0       29.9        47.0         45.4           58447.1
  Nov. 12  *   41.4         0.0          5.7        35.7       0.0     0.0       41.4        49.9         39.6           58388.0
  Nov. 11  *   52.6         0.0          7.4        45.2       0.0     0.0       52.6        52.7         28.7           58306.0
  Nov. 10  *   57.4         0.0          9.1        48.3       0.0     0.0       57.4        51.9         29.5           58201.9
  Nov.  9  *   53.8         0.0          8.9        44.9       0.0     0.0       53.8        49.9         28.8           58088.2
  Nov.  8  *   44.3         0.0          8.9        35.5       0.0     0.0       44.3        43.9         30.4           57981.7
  Nov.  7  *   55.3         0.0         10.5        44.8       0.0     0.0       55.3        29.4         33.2           57893.9
  Nov.  6  *   48.8         0.0         10.4        38.5       0.0     0.0       48.8         4.7         33.9           57784.4
  Nov.  5  *   47.1         0.0         11.8        35.3       0.0     0.0       47.1         7.1         36.1           57687.7
  Nov.  4  *   39.0         0.0         10.1        28.9       0.0    15.2       23.8         7.6         40.2           57594.4
  Nov.  3  *   46.6         0.0         11.6        35.0       0.0    74.9      -28.2        17.0         45.6           57547.2
  Nov.  2  *   61.0         0.0         16.4        44.6       0.0   129.2      -68.1        37.0         56.8           57603.1
  Nov.  1  *   61.0         0.0         16.4        44.6       0.0     0.0       61.0        63.1         72.0           57738.0
  Oct. 31  *   56.3         0.0         17.9        38.4       0.0     6.7       49.7        65.1         73.4           57617.2
  Oct. 30  *   70.5         0.0         19.6        50.8       0.0     0.0       70.5        72.7         75.0           57518.8
  Oct. 29  *   71.9         0.0         21.1        50.8       0.0     0.0       71.9        74.2         65.3           57379.3
  Oct. 28  *   62.2         0.0         17.8        44.4       0.0     0.0       62.2        76.6         49.0           57236.8
  Oct. 27  *   71.5         0.0         20.9        50.6       0.0     0.0       71.5        80.9         50.9           57113.7
  Oct. 26  *   87.3         0.0         27.3        60.0       0.0     0.0       87.3        81.6         51.0           56972.2
