             ET TOOLBOX REACH SUMMARY

      Summary for: URGWOM Reach 8 (San Marcial to Elephant Butte)     

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    13654.6 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2013   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2013 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  Dec. 31  *   42.4         0.0          0.9        41.5       0.0     0.0       42.4        30.7         29.7           49884.9
  Dec. 30  *   29.8         0.0          0.7        29.1       0.0     0.0       29.8        27.3         26.2           49800.9
  Dec. 29  *   25.5         0.0          0.6        24.9       0.0    12.7       12.8        26.4         22.2           49741.8
  Dec. 28  *   38.2         0.0          0.9        37.2       0.0     0.0       38.2        31.4         25.1           49716.5
  Dec. 27  *   30.0         0.0          0.9        29.1       0.0     0.0       30.0        29.6         25.4           49640.9
  Dec. 26  *   25.5         0.0          0.7        24.8       0.0     0.0       25.5        28.7         26.5           49581.4
  Dec. 25  *   25.5         0.0          0.7        24.7       0.0     0.0       25.5        25.1         27.3           49530.9
  Dec. 24  *   37.8         0.0          0.9        36.9       0.0     0.0       37.8        18.1         27.6           49480.4
  Dec. 23  *   29.3         0.0          0.7        28.6       0.0     0.0       29.3        18.8         26.7           49405.6
  Dec. 22  *   25.2         0.0          0.7        24.5       0.0     0.0       25.2        21.2         27.0           49347.6
  Dec. 21  *   29.1         0.0          0.7        28.4       0.0    21.5        7.6        24.4         20.9           49297.6
  Dec. 20  *   25.1         0.0          0.7        24.4       0.0    34.7       -9.6        29.5         23.0           49282.5
  Dec. 19  *   41.6         0.0          1.2        40.4       0.0     0.0       41.6        37.2         26.3           49301.6
  Dec. 18  *   41.3         0.0          1.1        40.2       0.0     0.0       41.3        34.6         24.5           49219.1
  Dec. 17  *   41.2         0.0          1.1        40.1       0.0    -0.0       41.2        32.8         23.2           49137.4
  Dec. 16  *   33.2         0.0          1.1        32.2       0.0     0.0       33.2        17.4         21.0           49055.9
  Dec. 15  *   28.7         0.0          0.7        27.9       0.0    -0.0       28.7        16.4         20.4           48990.2
  Dec. 14  *   28.6         0.0          0.7        27.8       0.0     0.0       28.6        15.5         19.9           48933.4
  Dec. 13  *   32.5         0.0          0.9        31.7       0.0     0.2       32.3        14.5         21.0           48876.9
  Dec. 12  *   24.5         0.0          0.7        23.7       0.0    60.3      -35.9        13.6         22.0           48812.9
  Dec. 11  *   28.2         0.0          0.7        27.5       0.0    -0.0       28.2        24.7         29.9           48883.9
  Dec. 10  *   24.1         0.0          0.6        23.4       0.0     0.0       24.1        24.5         31.3           48828.1
  Dec.  9  *   23.6         0.0          0.4        23.2       0.0     0.0       23.6        24.4         32.4           48780.5
  Dec.  8  *   27.9         0.0          0.7        27.1       0.0    -0.0       27.9        27.5         33.1           48733.8
  Dec.  7  *   19.8         0.0          0.5        19.3       0.0     0.0       19.8        30.5         33.8           48678.6
  Dec.  6  *   27.3         0.0          0.5        26.8       0.0     0.0       27.3        35.1         34.5           48639.3
  Dec.  5  *   27.5         0.0          0.7        26.8       0.0     4.2       23.3        38.2         34.4           48585.3
  Dec.  4  *   39.2         0.0          1.1        38.1       0.0    -0.0       39.2        40.4         33.9           48539.1
  Dec.  3  *   42.8         0.0          1.1        41.7       0.0     0.0       42.8        38.8         26.5           48461.5
  Dec.  2  *   42.9         0.0          1.2        41.7       0.0     0.0       42.9        37.0         20.5           48376.8
  Dec.  1  *   42.6         0.0          1.2        41.5       0.0     0.0       42.6        33.8         20.6           48291.9
  Nov. 30  *   34.7         0.0          0.9        33.7       0.0     0.0       34.7        30.6         20.3           48207.5
  Nov. 29  *   30.9         0.0          0.9        29.9       0.0     0.0       30.9        27.4         20.3           48138.8
  Nov. 28  *   34.1         0.0          0.9        33.3       0.0     0.0       34.1        14.2         21.3           48077.7
  Nov. 27  *   26.8         0.0          0.9        25.9       0.0     0.0       26.8         3.9         21.0           48010.1
  Nov. 26  *   26.4         0.0          0.7        25.7       0.0     0.0       26.4         7.3         22.3           47957.1
  Nov. 25  *   18.8         0.0          0.5        18.2       0.0     0.0       18.8         9.9         23.0           47904.8
  Nov. 24  *   11.4         0.0          0.4        11.0       0.0    46.6      -35.3        13.3         25.0           47867.6
  Nov. 23  *   29.7         0.0          0.9        28.9       0.0    46.9      -17.1        28.4         32.4           47937.4
  Nov. 22  *   43.6         0.0          0.9        42.8       0.0     0.0       43.6        38.2         37.3           47971.3
  Nov. 21  *   43.9         0.0          1.2        42.8       0.0     4.3       39.7        37.4         36.6           47884.9
  Nov. 20  *   43.9         0.0          1.3        42.6       0.0     8.5       35.4        36.0         38.1           47806.4
  Nov. 19  *   40.3         0.0          1.3        39.0       0.0     0.0       40.3        36.7         40.0           47736.3
  Nov. 18  *   40.1         0.0          1.3        38.8       0.0     8.2       31.8        36.4         41.6           47656.6
  Nov. 17  *   39.7         0.0          1.2        38.5       0.0     0.0       39.7        36.4         43.3           47593.6
  Nov. 16  *   32.9         0.0          1.3        31.6       0.0     0.0       32.9        35.8         43.9           47515.0
  Nov. 15  *   43.3         0.0          1.5        41.8       0.0     4.4       38.9        40.2         44.6           47449.8
  Nov. 14  *   39.3         0.0          1.3        38.0       0.0     0.6       38.8        43.3         43.8           47372.8
  Nov. 13  *   31.7         0.0          4.0        27.7       0.0    -0.0       31.7        46.7         45.2           47296.1
  Nov. 12  *   36.5         0.0          5.6        30.9       0.0     0.0       36.5        50.2         44.8           47233.3
  Nov. 11  *   54.9         0.0          7.4        47.5       0.0     0.0       54.9        52.0         46.4           47161.1
  Nov. 10  *   54.7         0.0          7.4        47.3       0.0     0.0       54.7        49.1         46.2           47052.3
  Nov.  9  *   55.9         0.0          8.9        47.1       0.0     0.0       55.9        44.3         45.9           46944.1
  Nov.  8  *   49.2         0.0          8.9        40.3       0.0     0.0       49.2        43.6         45.4           46833.4
  Nov.  7  *   45.4         0.0          8.6        36.8       0.0     0.0       45.4        39.3         47.1           46736.0
  Nov.  6  *   40.3         0.0         10.1        30.2       0.0     0.0       40.3        40.8         49.9           46646.1
  Nov.  5  *   46.6         0.0         10.1        36.5       0.0    16.1       30.6        43.3         53.2           46566.3
  Nov.  4  *   59.7         0.0         13.4        46.2       0.0     7.3       52.4        47.6         57.3           46505.8
  Nov.  3  *   49.9         0.0         13.4        36.5       0.0    21.8       28.1        47.2         49.3           46402.1
  Nov.  2  *   52.7         0.0         13.3        39.4       0.0     0.0       52.7        54.9         53.8           46346.5
  Nov.  1  *   52.6         0.0         13.3        39.3       0.0     0.0       52.6        58.9         56.0           46242.1
  Oct. 31  *   52.1         0.0         13.1        39.0       0.0     0.0       52.1        63.2         58.0           46138.0
  Oct. 30  *   50.7         0.0         14.8        35.9       0.0     0.0       50.7        67.0         59.5           46034.9
  Oct. 29  *   66.3         0.0         17.8        48.5       0.0     0.0       66.3        51.4         61.9           45934.5
  Oct. 28  *   72.9         0.0         21.1        51.7       0.0     0.0       72.9        52.7         62.2           45803.2
  Oct. 27  *   74.2         0.0         22.6        51.6       0.0     0.0       74.2        53.0         62.1           45658.9
  Oct. 26  *   70.9         0.0         22.6        48.3       0.0     0.0       70.9        52.7         62.1           45512.1
  Oct. 25  *   64.6         0.0         25.7        38.8       0.0    91.5      -27.0        52.0         61.7           45371.7
