             ET TOOLBOX REACH SUMMARY

      Summary for: URGWOM Reach 8 (San Marcial to Elephant Butte)     

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    11750.6 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2016   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2016 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  Dec. 31  *   31.3         0.0          1.1        30.3       0.0    47.9      -16.6        17.9          2.8           68062.9
  Dec. 30  *   24.6         0.0          0.9        23.7       0.0     0.0       24.6        26.0          7.7           68095.7
  Dec. 29  *   21.2         0.0          0.9        20.3       0.0     4.5       16.7        21.2          8.5           68047.0
  Dec. 28  *   34.3         0.0          1.1        33.2       0.0     0.0       34.3        23.9          8.8           68013.9
  Dec. 27  *   30.7         0.0          0.9        29.7       0.0     0.0       30.7        21.8          7.7           67946.0
  Dec. 26  *   23.8         0.0          0.7        23.0       0.0     0.0       23.8       -12.4          5.1           67885.3
  Dec. 25  *   14.1         0.0          0.7        13.4       0.0    13.3        0.7       -10.6          6.1           67838.2
  Dec. 24  *   30.2         0.0          0.9        29.3       0.0     0.0       30.2        -4.2          9.6           67836.7
  Dec. 23  *   23.7         0.0          0.9        22.8       0.0     0.0       23.7        -6.3         10.1           67776.9
  Dec. 22  *   10.5         0.0          0.6         9.9       0.0   150.9     -140.3        -6.5         11.3           67729.9
  Dec. 21  *   33.0         0.0          1.1        32.0       0.0     0.1       32.9        22.7         28.5           68007.8
  Dec. 20  *   32.5         0.0          0.9        31.6       0.0     0.0       32.5        22.7         28.8           67942.7
  Dec. 19  *   19.8         0.0          0.7        19.1       0.0     0.0       19.8        23.4         28.7           67878.3
  Dec. 18  *   22.6         0.0          0.6        22.0       0.0     0.0       22.6        26.5         29.3           67839.0
  Dec. 17  *   22.7         0.0          0.7        22.0       0.0    17.2        5.5        29.1         28.9           67794.3
  Dec. 16  *   33.0         0.0          1.4        31.6       0.0    -0.0       33.0        34.4         30.6           67783.3
  Dec. 15  *   36.0         0.0          1.4        34.6       0.0     0.0       36.0        34.8         29.9           67717.9
  Dec. 14  *   35.4         0.0          1.2        34.2       0.0     0.0       35.4        34.0         28.8           67646.7
  Dec. 13  *   35.4         0.0          1.2        34.2       0.0     0.0       35.4        32.0         27.5           67576.5
  Dec. 12  *   32.3         0.0          1.2        31.1       0.0     0.0       32.3        28.8         24.9           67506.5
  Dec. 11  *   35.1         0.0          1.2        34.0       0.0     0.0       35.1        26.8         22.8           67442.6
  Dec. 10  *   32.0         0.0          1.2        30.9       0.0     0.0       32.0        24.9         21.7           67373.0
  Dec.  9  *   25.4         0.0          0.9        24.5       0.0     0.0       25.4        23.6         20.6           67309.6
  Dec.  8  *   19.2         0.0          0.7        18.5       0.0     0.0       19.2        22.9         19.7           67259.3
  Dec.  7  *   22.3         0.0          0.9        21.4       0.0     0.0       22.3        20.9         20.2           67221.3
  Dec.  6  *   25.6         0.0          1.1        24.5       0.0     0.0       25.6        18.7         20.4           67177.1
  Dec.  5  *   25.5         0.0          1.1        24.4       0.0     0.0       25.5        18.5         20.3           67126.5
  Dec.  4  *   21.9         0.0          0.7        21.1       0.0     0.0       21.9        17.7         19.9           67076.1
  Dec.  3  *   16.2         0.0          0.9        15.3       0.0     6.8        9.4        16.5         20.2           67032.9
  Dec.  2  *   24.8         0.0          0.9        24.0       0.0    13.6       11.3        19.4         22.0           67014.3
  Dec.  1  *   24.5         0.0          0.7        23.8       0.0     0.0       24.5        22.1         23.3           66992.0
  Nov. 30  *   21.5         0.0          0.7        20.8       0.0     0.0       21.5        22.1         22.5           66943.5
  Nov. 29  *   15.7         0.0          0.7        15.0       0.0     0.0       15.7        22.1         23.6           66900.8
  Nov. 28  *   24.2         0.0          0.7        23.5       0.0    -0.0       24.2        23.9         24.8           66869.7
  Nov. 27  *   24.5         0.0          0.9        23.6       0.0     0.0       24.5        24.5         24.7           66821.8
  Nov. 26  *   24.5         0.0          0.9        23.5       0.0     0.0       24.4        24.4         25.6           66773.2
  Nov. 25  *   21.4         0.0          0.9        20.5       0.0    -0.0       21.4        22.9         26.7           66724.8
  Nov. 24  *   24.7         0.0          1.2        23.5       0.0     0.0       24.7        25.2         28.2           66682.5
  Nov. 23  *   27.4         0.0          1.2        26.2       0.0    -0.0       27.4        25.7         29.3           66633.6
  Nov. 22  *   24.1         0.0          0.9        23.2       0.0     0.0       24.1        25.0         29.8           66579.3
  Nov. 21  *   27.2         0.0          1.2        26.1       0.0    10.5       16.7        26.8         30.4           66531.6
  Nov. 20  *   32.9         0.0          1.3        31.6       0.0     0.0       32.9        30.6         32.3           66498.4
  Nov. 19  *   27.1         0.0          1.2        25.9       0.0     0.0       27.1        31.2         31.8           66433.2
  Nov. 18  *   23.9         0.0          0.9        22.9       0.0     0.0       23.9        32.9         32.3           66379.6
  Nov. 17  *   33.1         0.0          1.5        31.6       0.0    -0.0       33.1        34.7         33.7           66332.3
  Nov. 16  *   36.0         0.0          1.6        34.3       0.0     0.0       36.0        34.0         34.6           66266.7
  Nov. 15  *   35.9         0.0          1.6        34.3       0.0     0.0       35.9        34.0         35.4           66195.5
  Nov. 14  *   35.6         0.0          1.5        34.1       0.0     0.0       35.6        32.4         35.8           66124.4
  Nov. 13  *   32.8         0.0          1.5        31.3       0.0     0.0       32.8        31.8          1.0           66053.8
  Nov. 12  *   29.5         0.0          4.0        25.5       0.0    -0.0       29.5        32.7         -4.0           65988.9
  Nov. 11  *   36.4         0.0          5.6        30.8       0.0     0.0       36.4        35.3         -7.6           65930.5
  Nov. 10  *   27.8         0.0          5.3        22.5       0.0     0.0       27.8        36.7         -5.5           65858.4
  Nov.  9  *   32.3         0.0          7.0        25.2       0.0     0.0       32.3        39.2         -1.9           65803.4
  Nov.  8  *   37.7         0.0          7.1        30.6       0.0     0.0       37.7       -29.8          1.9           65739.5
  Nov.  7  *   42.1         0.0          8.9        33.3       0.0     0.0       42.1       -40.8          5.2           65664.8
  Nov.  6  *   43.4         0.0         10.4        33.0       0.0     0.0       43.4       -50.5          7.9           65581.3
  Nov.  5  *   40.5         0.0         10.4        30.1       0.0     0.0       40.5       -47.7         10.7           65495.4
  Nov.  4  *   39.9         0.0         10.1        29.7       0.0   352.6     -312.8       -42.9         14.1           65415.3
  Nov.  3  *   42.3         0.0         10.1        32.2       0.0    59.4      -17.0        33.6         50.5           66034.5
  Nov.  2  *   52.7         0.0         15.0        37.7       0.0    59.2       -6.5        51.2         60.0           66068.3
  Nov.  1  *   57.1         0.0         16.7        40.4       0.0     0.0       57.1        66.4         68.8           66081.1
  Oct. 31  *   64.6         0.0         21.4        43.2       0.0     0.0       64.6        69.1         70.7           65968.0
  Oct. 30  *   69.7         0.0         21.4        48.3       0.0     0.0       69.7        71.2         71.3           65840.2
  Oct. 29  *   71.2         0.0         22.8        48.3       0.0     0.0       71.2        67.4         70.6           65702.2
  Oct. 28  *   69.2         0.0         21.1        48.1       0.0     0.0       69.2        68.8         71.4           65561.3
  Oct. 27  *   70.9         0.0         22.7        48.2       0.0     0.0       70.9        71.2         73.5           65424.2
  Oct. 26  *   74.9         0.0         24.2        50.7       0.0     0.0       74.9        72.3         75.8           65283.8
  Oct. 25  *   75.5         0.0         27.3        48.2       0.0    24.8       50.7        71.4         77.8           65135.4
