             ET TOOLBOX REACH SUMMARY

      Summary for: URGWOM Reach 8 (San Marcial to Elephant Butte)     

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    10821.6 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2012   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2012 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  Dec. 31  *   31.1         0.0          1.3        29.8       0.0    -0.0       31.1        23.8         23.4           49952.7
  Dec. 30  *   21.5         0.0          0.7        20.8       0.0     0.1       21.4        21.8         22.3           49891.1
  Dec. 29  *   21.2         0.0          0.6        20.6       0.0     0.0       21.2        21.2         22.0           49848.7
  Dec. 28  *   18.3         0.0          0.6        17.7       0.0     0.0       18.3        20.6         21.6           49806.7
  Dec. 27  *   27.0         0.0          0.7        26.2       0.0     0.0       27.0        22.9         22.7           49770.5
  Dec. 26  *   21.2         0.0          0.7        20.5       0.0     0.0       21.2        22.9         22.3           49717.1
  Dec. 25  *   18.3         0.0          0.7        17.6       0.0     0.0       18.3        22.8         22.3           49675.2
  Dec. 24  *   27.0         0.0          0.9        26.1       0.0     8.7       18.3        22.7         22.5           49638.9
  Dec. 23  *   29.9         0.0          1.1        28.8       0.0     0.0       29.9        22.6         21.9           49602.7
  Dec. 22  *   26.9         0.0          1.1        25.9       0.0     0.0       26.9        22.5         21.7           49543.5
  Dec. 21  *   20.7         0.0          0.7        20.0       0.0     0.0       20.7        21.7         21.3           49490.2
  Dec. 20  *   17.7         0.0          0.6        17.1       0.0    -0.0       17.7        21.7         21.2           49449.1
  Dec. 19  *   17.6         0.0          0.6        17.0       0.0     0.0       17.6        22.2         21.2           49414.1
  Dec. 18  *   29.3         0.0          1.1        28.2       0.0     0.0       29.3        21.1         21.9           49379.2
  Dec. 17  *   23.3         0.0          0.9        22.5       0.0     0.0       23.3        21.0         21.8           49321.2
  Dec. 16  *   20.6         0.0          0.9        19.7       0.0     0.0       20.6        20.9         22.5           49275.0
  Dec. 15  *   20.2         0.0          0.7        19.5       0.0     0.0       20.2        20.8         23.8           49234.3
  Dec. 14  *   12.3         0.0          0.9        11.4       0.0     0.0       12.3        20.1         24.9           49194.3
  Dec. 13  *   28.6         0.0          1.1        27.5       0.0     0.0       28.6        22.7         26.7           49169.9
  Dec. 12  *   22.8         0.0          0.9        22.0       0.0    -0.0       22.8        22.6         26.9           49113.3
  Dec. 11  *   19.8         0.0          0.7        19.1       0.0     0.0       19.8        24.2         27.9           49068.1
  Dec. 10  *   17.1         0.0          0.7        16.4       0.0     0.0       17.1        26.9         29.2           49028.8
  Dec.  9  *   28.1         0.0          1.1        27.1       0.0     3.2       25.0        29.6         30.7           48994.9
  Dec.  8  *   28.2         0.0          1.2        27.1       0.0     0.0       28.2        30.7         31.4           48945.4
  Dec.  7  *   30.7         0.0          1.2        29.6       0.0     0.0       30.7        31.1         31.6           48889.5
  Dec.  6  *   33.4         0.0          1.3        32.1       0.0     0.0       33.4        31.5         31.0           48828.6
  Dec.  5  *   30.7         0.0          1.3        29.4       0.0     0.0       30.7        31.4         30.9           48762.5
  Dec.  4  *   30.4         0.0          1.2        29.2       0.0     0.0       30.4        31.8         31.5           48701.7
  Dec.  3  *   30.3         0.0          1.2        29.1       0.0     0.0       30.3        32.2         30.9           48641.6
  Dec.  2  *   32.9         0.0          1.3        31.6       0.0     0.0       32.9        32.1         30.1           48581.6
  Dec.  1  *   32.8         0.0          1.3        31.5       0.0     0.0       32.8        30.5         30.0           48516.5
  Nov. 30  *   32.6         0.0          1.3        31.3       0.0     0.0       32.6        30.3         29.7           48451.6
  Nov. 29  *   32.5         0.0          1.3        31.2       0.0    -0.0       32.5        31.2         29.4           48387.1
  Nov. 28  *   29.9         0.0          1.3        28.6       0.0    -0.0       29.9        29.6         29.0           48322.7
  Nov. 27  *   24.6         0.0          1.2        23.4       0.0     0.0       24.6        28.0         27.1           48263.6
  Nov. 26  *   32.2         0.0          1.3        30.9       0.0     0.0       32.2        29.5         27.6           48214.9
  Nov. 25  *   37.0         0.0          1.3        35.7       0.0     0.0       37.0        29.1         27.3           48151.3
  Nov. 24  *   24.4         0.0          1.2        23.2       0.0    -0.0       24.4        27.5         26.7           48078.0
  Nov. 23  *   21.9         0.0          1.2        20.7       0.0    -0.0       21.9        28.5         27.5           48029.7
  Nov. 22  *   32.3         0.0          1.5        30.7       0.0     0.0       32.3        26.2         28.1           47986.4
  Nov. 21  *   29.8         0.0          1.5        28.2       0.0     0.0       29.8        25.7         27.5           47922.5
  Nov. 20  *   29.3         0.0          1.3        28.0       0.0     0.0       29.3        25.5         26.9           47863.6
  Nov. 19  *   29.2         0.0          1.3        27.9       0.0     0.0       29.2        26.0         26.8           47805.6
  Nov. 18  *   32.1         0.0          1.5        30.5       0.0    21.6       10.5        26.4         27.7           47747.7
  Nov. 17  *   29.6         0.0          1.5        28.1       0.0    -0.0       29.6        30.1         31.7           47727.0
  Nov. 16  *   29.1         0.0          1.3        27.8       0.0     0.0       29.1        29.4         34.0           47668.4
  Nov. 15  *   31.5         0.0          1.3        30.2       0.0    -0.0       31.5        28.3         36.0           47610.8
  Nov. 14  *   31.4         0.0          1.3        30.1       0.0     0.0       31.4        27.6         37.9           47548.4
  Nov. 13  *   28.8         0.0          1.2        27.6       0.0    -0.0       28.8        29.0         39.8           47486.2
  Nov. 12  *   26.2         0.0          3.7        22.5       0.0    -0.0       26.2        33.3         41.8           47429.2
  Nov. 11  *   23.8         0.0          3.7        20.1       0.0    -0.0       23.8        38.6         44.6           47377.4
  Nov. 10  *   27.9         0.0          5.3        22.5       0.0     0.0       27.9        43.8         48.4           47330.3
  Nov.  9  *   42.4         0.0          7.4        35.0       0.0     4.2       38.2        48.1         52.1           47275.2
  Nov.  8  *   50.6         0.0         10.6        40.0       0.0     0.0       50.6        50.7         54.7           47199.5
  Nov.  7  *   52.5         0.0         12.3        40.2       0.0     0.0       52.5        50.2         55.6           47099.3
  Nov.  6  *   49.6         0.0         12.1        37.6       0.0     0.0       49.6        50.7         56.1           46995.4
  Nov.  5  *   49.6         0.0         12.1        37.5       0.0     0.0       49.6        53.1         55.9           46897.1
  Nov.  4  *   51.0         0.0         13.5        37.5       0.0     0.0       51.0        56.1         55.6           46798.9
  Nov.  3  *   48.4         0.0         13.4        35.0       0.0     0.0       48.4        58.8         56.5           46697.9
  Nov.  2  *   54.9         0.0         15.0        39.9       0.0     0.0       54.9        61.0         59.5           46602.0
  Nov.  1  *   61.5         0.0         16.7        44.8       0.0     0.0       61.5        61.4         61.6           46493.4
  Oct. 31  *   64.6         0.0         19.8        44.9       0.0     0.0       64.6        58.7         62.3           46371.7
  Oct. 30  *   64.6         0.0         19.8        44.8       0.0     0.0       64.6        55.2         62.8           46243.7
  Oct. 29  *   59.6         0.0         19.6        39.9       0.0     0.0       59.6        54.3         64.3           46115.8
  Oct. 28  *   56.8         0.0         19.4        37.4       0.0     0.0       56.8        57.9         66.2           45997.9
  Oct. 27  *   47.9         0.0         17.8        30.1       0.0     0.0       47.9        61.8         68.4           45885.5
  Oct. 26  *   47.0         0.0         19.3        27.7       0.0     0.0       47.0        66.0         71.4           45790.6
  Oct. 25  *   60.2         0.0         22.6        37.5       0.0     0.0       60.2        70.3         74.5           45697.6
