             ET TOOLBOX REACH SUMMARY

      Summary for: URGWOM Reach 8 (San Marcial to Elephant Butte)     

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    11896.1 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2017   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2017 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  Dec. 31  *   41.6         0.0          1.3        40.3       0.0    -0.0       41.6        38.6         35.1           67060.3
  Dec. 30  *   41.6         0.0          1.3        40.3       0.0    -0.0       41.6        37.7         33.9           66977.9
  Dec. 29  *   41.4         0.0          1.3        40.1       0.0    -0.0       41.4        36.8         32.4           66895.5
  Dec. 28  *   34.3         0.0          1.1        33.2       0.0     0.0       34.3        34.6         30.5           66813.6
  Dec. 27  *   34.1         0.0          1.1        33.0       0.0    -0.0       34.1        33.7         28.4           66745.7
  Dec. 26  *   37.2         0.0          1.1        36.1       0.0    -0.0       37.2        31.6         26.3           66678.1
  Dec. 25  *   37.2         0.0          1.2        36.0       0.0     0.0       37.2        30.1         24.8           66604.5
  Dec. 24  *   30.2         0.0          1.0        29.2       0.0     0.0       30.2        27.9         23.4           66530.9
  Dec. 23  *   30.1         0.0          1.0        29.1       0.0     0.0       30.1        26.5         22.6           66471.1
  Dec. 22  *   23.2         0.0          0.8        22.5       0.0     0.0       23.2        23.0         22.8           66411.6
  Dec. 21  *   29.7         0.0          1.0        28.8       0.0     0.0       29.7        21.0         23.1           66365.6
  Dec. 20  *   26.4         0.0          0.9        25.5       0.0     0.0       26.4        19.6         22.6           66306.7
  Dec. 19  *   22.9         0.0          0.8        22.2       0.0     0.0       22.9        18.8         22.6           66254.5
  Dec. 18  *   19.6         0.0          0.6        18.9       0.0     6.6       12.9        18.8         22.8           66209.2
  Dec. 17  *   19.5         0.0          0.6        18.8       0.0     6.5       12.9        22.6         23.7           66183.5
  Dec. 16  *   22.7         0.0          0.8        21.9       0.0     0.0       22.7        25.1         23.7           66157.9
  Dec. 15  *   22.6         0.0          0.8        21.9       0.0     0.0       22.6        25.7         22.2           66113.0
  Dec. 14  *   22.6         0.0          0.8        21.8       0.0     0.0       22.6        26.3         14.7           66068.1
  Dec. 13  *   32.1         0.0          1.1        31.1       0.0     0.0       32.1        26.9         15.0           66023.5
  Dec. 12  *   25.7         0.0          0.9        24.8       0.0     0.0       25.7        24.9         15.2           65959.8
  Dec. 11  *   25.6         0.0          0.9        24.7       0.0     0.0       25.6        22.3         14.7           65909.0
  Dec. 10  *   25.5         0.0          0.9        24.6       0.0     0.0       25.5        18.7         14.9           65858.3
  Dec.  9  *   25.4         0.0          0.9        24.5       0.0     0.0       25.4         3.1         12.7           65807.8
  Dec.  8  *   22.2         0.0          0.8        21.4       0.0     0.0       22.2         3.1         12.9           65757.5
  Dec.  7  *   12.6         0.0          0.4        12.2       0.0     0.0       12.6         5.5         13.5           65713.6
  Dec.  6  *   22.0         0.0          0.8        21.3       0.0    14.1        8.0         7.1         16.5           65688.6
  Dec.  5  *   15.7         0.0          0.5        15.1       0.0    68.5      -52.8        11.0         19.3           65672.8
  Dec.  4  *   25.4         0.0          1.1        24.3       0.0     0.0       25.4        22.3         28.2           65777.5
  Dec.  3  *   34.3         0.0          1.2        33.1       0.0     0.0       34.3        22.7         29.3           65727.2
  Dec.  2  *   27.9         0.0          1.0        26.9       0.0     7.2       20.7        21.4         29.5           65659.3
  Dec.  1  *   27.8         0.0          1.0        26.8       0.0     0.0       27.8        25.8         30.7           65618.4
  Nov. 30  *   27.7         0.0          1.0        26.7       0.0    24.5        3.2        27.6         32.2           65563.4
  Nov. 29  *   27.6         0.0          1.0        26.6       0.0     0.0       27.6        34.2         35.4           65557.2
  Nov. 28  *   27.9         0.0          1.2        26.7       0.0     0.0       27.9        36.0         35.9           65502.5
  Nov. 27  *   42.7         0.0          1.6        41.1       0.0     0.0       42.7        37.6         35.8           65447.2
  Nov. 26  *   36.5         0.0          1.3        35.1       0.0    -0.0       36.5        35.7         36.0           65362.7
  Nov. 25  *   36.3         0.0          1.3        35.0       0.0    -0.0       36.3        36.7         36.4           65290.5
  Nov. 24  *   36.6         0.0          1.6        35.0       0.0     0.0       36.6        36.6         36.9           65218.6
  Nov. 23  *   36.0         0.0          1.3        34.7       0.0    -0.0       36.0        35.8         37.7           65146.2
  Nov. 22  *   32.9         0.0          1.2        31.7       0.0    -0.0       32.9        34.0         38.0           65074.8
  Nov. 21  *   41.8         0.0          1.6        40.2       0.0    -0.0       41.8        36.3         39.4           65009.6
  Nov. 20  *   35.7         0.0          1.3        34.4       0.0    -0.0       35.7        36.2         40.0           64926.8
  Nov. 19  *   32.7         0.0          1.2        31.5       0.0    -0.0       32.7        37.2         41.1           64856.0
  Nov. 18  *   26.6         0.0          1.0        25.7       0.0     0.0       26.6        39.5         41.9           64791.3
  Nov. 17  *   44.4         0.0          1.7        42.7       0.0    -0.0       44.4        42.1         41.9           64738.6
  Nov. 16  *   41.3         0.0          1.6        39.8       0.0     0.0       41.3        42.6         41.9           64650.7
  Nov. 15  *   41.0         0.0          1.4        39.6       0.0     0.0       41.0        43.8         43.1           64568.8
  Nov. 14  *   44.1         0.0          1.7        42.4       0.0     0.0       44.1        44.9         44.3           64487.6
  Nov. 13  *   39.7         0.0          5.9        33.8       0.0     0.0       39.7        44.3         44.5           64400.3
  Nov. 12  *   47.0         0.0          7.7        39.4       0.0     0.0       47.0        41.8         46.3           64321.7
  Nov. 11  *   46.9         0.0          7.7        39.3       0.0     0.0       46.9        41.2         47.2           64228.6
  Nov. 10  *   46.8         0.0          7.7        39.1       0.0     0.0       46.8        42.5         48.5           64135.6
  Nov.  9  *   40.8         0.0          7.4        33.4       0.0     0.0       40.8        43.7         45.4           64042.9
  Nov.  8  *   37.8         0.0          7.3        30.5       0.0    10.5       27.3        44.7         47.1           63962.1
  Nov.  7  *   44.0         0.0         10.7        33.3       0.0     0.0       43.9        50.9         50.6           63908.1
  Nov.  6  *   53.4         0.0         12.4        41.0       0.0     0.0       53.4        53.2         51.7           63821.1
  Nov.  5  *   53.1         0.0         12.4        40.7       0.0     0.0       53.1        54.5         50.2           63715.3
  Nov.  4  *   54.4         0.0         14.0        40.4       0.0     8.8       45.5        47.2         52.6           63610.2
  Nov.  3  *   58.5         0.0         15.6        42.9       0.0     0.0       58.5        49.5         54.2           63520.0
  Nov.  2  *   55.6         0.0         15.5        40.2       0.0     0.0       55.6        50.4         54.1           63404.2
  Nov.  1  *   59.9         0.0         17.1        42.8       0.0     0.0       59.9        50.1         56.4           63294.0
  Oct. 31  *   42.9         0.0         13.4        29.5       0.0    26.7       16.2        45.9         57.0           63175.4
  Oct. 30  *   57.1         0.0         16.9        40.1       0.0     0.0       57.1        58.1         61.9           63143.3
  Oct. 29  *   62.9         0.0         20.1        42.8       0.0     0.0       62.9        59.0         63.7           63030.3
  Oct. 28  *   54.2         0.0         16.8        37.4       0.0     0.0       54.2        57.8         53.3           62905.7
  Oct. 27  *   38.8         0.0         14.6        24.2       0.0     0.0       38.8        62.7         55.8           62798.3
  Oct. 26  *   77.2         0.0         26.5        50.7       0.0     0.0       77.2        68.1         60.3           62721.4
  Oct. 25  *   61.6         0.0         21.6        40.0       0.0     0.0       61.6        65.8         60.1           62568.5
