             ET TOOLBOX REACH SUMMARY

"      Summary for: URGWOM Reach 5 (Isleta to Bosque, NM gage)         "

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    26795.4 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2018   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2018 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  Oct. 20  *  117.6        80.1         25.3        12.3       0.0     0.0      117.6        70.6         47.4           91343.4
  Oct. 19  *  110.5        74.6         24.2        11.7       0.0     0.0      110.5        52.0         49.4           91110.5
  Oct. 18  *   76.6        52.1         16.5         7.9       0.0     0.0       76.6       -24.7         45.8           90891.7
  Oct. 17  *   68.9        46.6         15.1         7.2       0.0     0.0       68.9       -14.3         37.2           90740.1
  Oct. 16  *   71.5        48.9         15.4         7.2       0.0    92.2      -20.7        -7.4         26.1           90603.7
  Oct. 15  *   59.1        42.0         11.6         5.5       0.0    34.4       24.7        24.3         43.7           90644.7
  Oct. 14  *  103.7        69.9         22.6        11.2       0.0   376.9     -273.2        46.9         58.6           90595.8
  Oct. 13  *  129.0        87.8         27.9        13.3       0.0     0.0      129.0       116.4        104.0           91136.7
  Oct. 12  *  114.2        77.7         24.6        12.0       0.0    11.2      103.1        88.7        108.8           90881.2
  Oct. 11  *  141.1        95.5         30.9        14.6       0.0     3.3      137.8        59.7        104.4           90677.1
  Oct. 10  *  137.7        93.2         30.1        14.4       0.0     0.0      137.7        63.2        100.1           90404.3
  Oct.  9  *  107.2        72.3         23.4        11.5       0.0    32.6       74.6        70.3        107.1           90131.7
  Oct.  8  *  110.9        75.4         23.8        11.7       0.0   120.8       -9.9        91.5        119.3           89984.0
  Oct.  7  *  144.9        98.7         31.3        14.9       0.0   186.8      -41.9       128.9        141.3           90003.5
  Oct.  6  *  155.3       105.7         33.6        16.0       0.0     0.0      155.3       149.2        164.8           90086.4
  Oct.  5  *  173.5       118.9         36.7        17.9       0.0     0.0      173.5       137.0        159.3           89779.0
  Oct.  4  *  180.5       124.4         37.8        18.4       0.0     0.0      180.5       143.8        143.7           89435.5
  Oct.  3  *  177.2       122.1         37.1        18.1       0.0     0.0      177.2       147.0        146.4           89078.0
  Oct.  2  *  166.4       114.3         35.1        17.0       0.0   106.9       59.5       153.7        148.2           88727.1
  Oct.  1  *  158.7       108.8         33.9        15.9       0.0    64.4       94.2       180.4        160.0           88609.3
  Sep. 30  *  207.5       142.3         44.2        21.1       0.0     0.0      207.5       181.5        169.0           88422.7
  Sep. 29  *  196.5       134.5         42.2        19.7       0.0     0.0      196.5       143.6        133.7           88011.8
  Sep. 28  *  210.8       144.6         44.9        21.3       0.0     0.0      210.8       145.7        111.2           87622.8
  Sep. 27  *  192.8       132.2         41.4        19.2       0.0     0.0      192.8       142.8        113.7           87205.3
  Sep. 26  *  132.4        90.2         28.6        13.6       0.0    32.5       99.9       139.6        116.8           86823.7
  Sep. 25  *  196.1       134.5         42.1        19.4       0.0   178.0       18.1       156.4        129.3           86625.8
  Sep. 24  *  206.9       142.3         44.1        20.5       0.0     0.0      206.9       123.9        151.5           86590.0
  Sep. 23  *  196.1       134.6         42.1        19.4       0.0     0.0      196.1        76.7        155.2           86180.3
  Sep. 22  *  176.9       121.3         38.1        17.6       0.0     0.0      176.9        84.6        159.1           85791.9
  Sep. 21  *  184.0       126.7         39.1        18.1       0.0     0.0      184.0        94.0        166.2           85441.6
  Sep. 20  *  128.1        87.0         28.2        12.9       0.0   272.7     -144.6       102.2        171.1           85077.3
  Sep. 19  *  187.3       129.1         39.9        18.4       0.0   216.4      -29.0       179.2        209.8           85363.7
  Sep. 18  *  235.7       162.5         50.0        23.2       0.0     0.0      235.7       233.7        231.7           85421.2
  Sep. 17  *  224.1       155.6         47.0        21.5       0.0     0.0      224.1       233.6        229.9           84954.5
  Sep. 16  *  224.8       156.3         47.0        21.6       0.0     0.0      224.8       238.4        219.7           84510.8
  Sep. 15  *  240.2       166.4         50.4        23.4       0.0     0.0      240.2       240.0        215.2           84065.6
  Sep. 14  *  243.5       168.7         51.1        23.7       0.0     0.0      243.5       240.5        196.6           83590.1
  Sep. 13  *  235.2       164.0         48.8        22.4       0.0     0.0      235.2       229.8        194.8           83107.9
  Sep. 12  *  248.3       171.8         52.6        23.9       0.0     0.0      248.3       226.3        192.7           82642.2
  Sep. 11  *  232.5       161.0         49.2        22.4       0.0     0.0      232.5       201.0        189.3           82150.4
  Sep. 10  *  242.9       168.7         51.0        23.2       0.0     0.0      242.9       190.4        154.0           81690.0
  Sep.  9  *  242.9       168.7         51.0        23.2       0.0    53.1      189.8       152.6        149.1           81209.0
  Sep.  8  *  217.7       150.8         45.8        21.1       0.0     0.0      217.7       159.8        159.5           80833.2
  Sep.  7  *  210.6       147.5         43.5        19.5       0.0    88.4      122.2       159.2        165.7           80402.2
  Sep.  6  *  183.4       128.7         37.9        16.8       0.0     4.1      179.4       177.7        181.4           80160.2
  Sep.  5  *  228.9       161.6         46.5        20.8       0.0   174.9       54.1       117.5        189.1           79805.1
  Sep.  4  *  225.8       159.5         45.8        20.5       0.0     0.0      225.8       145.6        194.3           79698.0
  Sep.  3  *  214.6       151.3         43.8        19.4       0.0     0.1      214.5       159.2        192.6           79251.0
  Sep.  2  *  214.6       151.3         43.8        19.4       0.0     0.0      214.5       172.2        194.8           78826.2
  Sep.  1  *  192.4       135.9         39.0        17.5       0.0   313.8     -121.4       185.1        196.7           78401.4
  Aug. 31  *  264.5       186.9         53.9        23.7       0.0    70.1      194.4       260.8        207.5           78641.7
  Aug. 30  *  294.1       209.2         58.8        26.1       0.0     0.0      294.1       243.1        197.2           78256.9
  Aug. 29  *  279.4       198.5         56.2        24.7       0.0     0.0      279.4       225.9        194.6           77674.6
  Aug. 28  *  279.3       197.9         56.5        24.8       0.0     0.0      279.3       217.4        195.7           77121.5
