             ET TOOLBOX REACH SUMMARY

"      Summary for: URGWOM Reach 5 (Isleta to Bosque, NM gage)         "

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    29842.6 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2012   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2012 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  Nov.  6     118.5        93.7         12.2        12.6       0.0     0.0      118.5       116.6        122.4          117893.4
  Nov.  5     114.2        89.5         12.4        12.3       0.0    -0.0      114.2       118.2        121.3          117658.7
  Nov.  4     116.2        90.4         13.4        12.4       0.0    -0.0      116.2       122.5        119.4          117432.6
  Nov.  3     116.0        89.5         14.2        12.3       0.0    -0.0      116.0       126.6        118.8          117202.6
  Nov.  2     117.9        90.4         15.1        12.3       0.0    -0.0      117.9       128.2        122.9          116972.9
  Nov.  1     126.7        96.0         17.9        12.8       0.0     0.0      126.7       128.3        127.0          116739.5
  Oct. 31     135.8       102.5         19.3        14.0       0.0     0.0      135.8       124.5        129.6          116488.5
  Oct. 30     136.3       102.5         19.8        14.0       0.0     0.0      136.3       116.2        132.1          116219.6
  Oct. 29     124.1        92.9         18.7        12.5       0.0     0.0      124.1       111.0        135.7          115949.7
  Oct. 28     118.7        87.3         19.4        12.0       0.0     0.0      118.7       117.7        139.9          115703.9
  Oct. 27     107.4        78.6         17.6        11.2       0.0     0.0      107.4       125.8        144.9          115468.9
  Oct. 26      94.8        68.5         16.9         9.5       0.0     0.2       94.7       134.7        150.3          115256.3
  Oct. 25     110.2        79.5         19.4        11.3       0.0     0.0      110.2       147.9        158.9          115068.8
  Oct. 24     157.4       113.5         28.6        15.2       0.0     0.0      157.4       160.3        164.4          114850.5
  Oct. 23     159.0       113.5         30.3        15.2       0.0     0.0      159.0       162.1        165.0          114538.9
  Oct. 22     152.0       107.9         29.3        14.8       0.0     0.0      152.0       164.1        162.6          114224.0
  Oct. 21     160.8       113.5         32.0        15.2       0.0     0.0      160.8       165.9        160.6          113923.1
  Oct. 20     172.2       122.3         33.9        16.1       0.0     0.0      172.2       170.0        161.0          113604.8
  Oct. 19     166.3       117.6         33.0        15.7       0.0     0.0      166.3       168.5        162.1          113263.8
  Oct. 18     169.1       120.0         33.3        15.8       0.0     0.0      169.1       168.0        163.9          112934.6
  Oct. 17     160.8       113.6         32.0        15.2       0.0     0.0      160.8       161.0        165.5          112599.7
  Oct. 16     181.3       128.7         35.4        17.2       0.0     0.0      181.3       155.4        164.3          112281.2
  Oct. 15     164.9       116.9         32.5        15.5       0.0     0.0      164.9       152.1        163.7          111922.2
  Oct. 14     163.9       115.8         32.7        15.5       0.0     0.0      163.9       155.8        166.9          111595.7
  Oct. 13     134.2        95.2         26.2        12.7       0.0     0.0      134.2       159.7        172.1          111271.2
  Oct. 12     157.5       110.8         31.7        15.0       0.0    24.7      132.8       169.9        182.0          111005.5
  Oct. 11     171.9       121.9         33.9        16.1       0.0     7.4      164.6       173.1        188.8          110742.5
  Oct. 10     183.4       130.2         35.8        17.5       0.0     0.0      183.4       175.4        192.7          110416.6
  Oct.  9     183.4       130.1         36.1        17.3       0.0     0.0      183.4       178.1        195.0          110053.4
  Oct.  8     185.1       131.9         35.8        17.4       0.0     0.0      185.1       184.6        194.7          109690.3
  Oct.  7     149.0       105.3         29.7        14.1       0.0     0.0      149.0       194.0        187.3          109323.7
  Oct.  6     176.0       125.5         34.3        16.3       0.0     0.0      176.0       204.5        193.4          109028.7
  Oct.  5     196.9       140.9         37.7        18.4       0.0     0.0      196.9       210.0        188.5          108680.1
  Oct.  4     215.8       154.1         42.0        19.7       0.0     0.0      215.8       212.0        188.8          108290.3
  Oct.  3     232.4       166.2         44.7        21.4       0.0     0.0      232.4       204.9        180.4          107863.0
  Oct.  2     201.9       144.4         38.9        18.7       0.0     0.3      201.5       180.6        180.9          107402.8
  Oct.  1     203.4       145.2         39.4        18.8       0.0     0.0      203.4       182.3        186.4          107003.8
  Sep. 30     206.6       147.5         40.2        18.9       0.0     0.0      206.6       166.9        191.6          106601.0
  Sep. 29     180.6       128.7         35.1        16.9       0.0     0.0      180.6       165.6        196.0          106191.9
  Sep. 28     186.1       133.4         35.8        16.8       0.0    75.3      110.7       155.8        202.6          105834.3
  Sep. 27     210.4       150.1         41.1        19.2       0.0     0.0      210.4       181.3        213.6          105615.1
  Sep. 26     195.2       139.9         37.3        18.0       0.0    68.9      126.3       190.5        217.0          105198.6
  Sep. 25     210.4       150.1         41.1        19.2       0.0    10.6      199.8       216.2        229.2          104948.5
