             ET TOOLBOX REACH SUMMARY

"      Summary for: URGWOM Reach 5 (Isleta to Bosque, NM gage)         "

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    27430.8 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2017   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2017 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  Nov.  6      97.0        75.0         10.7        11.2       0.0     0.0       97.0       105.7        102.0           83906.3
  Nov.  5     100.8        77.0         12.4        11.4       0.0     0.0      100.8       108.7         99.4           83714.3
  Nov.  4     109.7        83.4         14.3        12.0       0.0     0.0      109.7       103.3        102.8           83514.8
  Nov.  3     110.0        83.6         14.3        12.0       0.0     0.0      110.0       100.3        104.5           83297.6
  Nov.  2     111.0        83.1         15.9        12.0       0.0     0.0      111.0       101.3        104.2           83079.7
  Nov.  1     111.7        83.7         16.1        12.0       0.0     0.0      111.7        98.3        107.4           82859.9
  Oct. 31      79.1        58.4         11.9         8.8       0.0     5.1       74.0        90.1        109.1           82638.6
  Oct. 30      94.7        69.1         15.6        10.1       0.0     0.0       94.7       102.3        112.7           82492.1
  Oct. 29     114.8        83.4         19.4        12.0       0.0     0.0      114.8       108.6        117.7           82304.5
  Oct. 28      96.3        69.9         16.2        10.2       0.0     0.0       96.3       107.1        105.4           82077.2
  Oct. 27      70.6        50.0         13.4         7.2       0.0     0.0       70.6       116.4        110.8           81886.5
  Oct. 26     135.1        97.3         24.1        13.8       0.0     0.0      135.1       128.1        119.3           81746.7
  Oct. 25     126.2        89.4         24.1        12.6       0.0     0.0      126.2       123.2        121.4           81479.1
  Oct. 24     107.2        75.0         21.0        11.2       0.0     0.0      107.2       126.9        121.9           81229.3
  Oct. 23     143.0       100.1         28.4        14.4       0.0     0.0      143.0       103.7        127.2           81017.1
  Oct. 22     129.2        90.7         25.9        12.7       0.0     0.0      129.2       105.2        130.6           80734.0
  Oct. 21     110.3        76.2         22.8        11.3       0.0     0.0      110.3       110.6        134.3           80478.2
  Oct. 20     144.7       100.1         30.1        14.4       0.0     0.0      144.7       119.6        138.8           80259.9
  Oct. 19     126.8        88.7         25.7        12.5       0.0   135.4       -8.6       116.8        136.4           79973.4
  Oct. 18     150.7       105.0         30.9        14.8       0.0     0.0      150.7       150.6        150.3           79990.4
  Oct. 17     155.7       108.4         32.0        15.3       0.0     0.0      155.7       155.9        153.3           79692.0
  Oct. 16     155.7       108.4         32.0        15.3       0.0     0.0      155.7       158.1        152.7           79383.7
  Oct. 15     130.7        91.5         26.3        12.8       0.0     0.0      130.7       158.0        152.8           79075.3
  Oct. 14     160.2       111.6         32.9        15.6       0.0     0.0      160.2       155.9         86.6           78816.6
  Oct. 13     177.3       124.1         35.8        17.5       0.0     0.0      177.3       150.1         38.6           78499.5
  Oct. 12     166.7       116.7         33.9        16.1       0.0     0.0      166.7       150.7         38.5           78148.4
  Oct. 11     155.4       108.2         31.9        15.2       0.0     0.0      155.4       147.2         39.9           77818.4
  Oct. 10     120.0        83.4         24.6        12.0       0.0     0.0      120.0       147.7         40.8           77510.7
  Oct.  9     131.0        92.3         26.0        12.7       0.0     0.0      131.0        17.3        -20.1           77273.1
  Oct.  8     180.4       126.8         36.0        17.6       0.0     0.0      180.4       -72.9        -75.2           77013.7
  Oct.  7     149.3       104.0         30.6        14.7       0.0     0.0      149.3       -73.7        -99.1           76656.5
  Oct.  6     157.5       110.2         32.1        15.2       0.0     0.0      157.5       -67.4       -165.2           76360.8
  Oct.  5     146.0       101.5         30.1        14.4       0.0   677.7     -531.7       -66.1       -184.7           76048.9
  Oct.  4     135.5        94.9         27.3        13.3       0.0   455.5     -320.0       -57.6       -113.2           77101.7
  Oct.  3     176.5       123.7         35.6        17.3       0.0     0.0      176.5       -77.6        -62.8           77735.3
  Oct.  2     180.6       126.9         36.0        17.6       0.0     0.0      180.6      -124.5        -73.5           77385.9
  Oct.  1     165.0       116.0         33.3        15.7       0.0     0.8      164.2      -263.0        -70.0           77028.4
  Sep. 30     146.6       101.9         30.2        14.5       0.0   635.6     -489.0      -303.3        -64.3           76703.3
  Sep. 29     136.2        96.0         27.1        13.1       0.0   556.4     -420.1      -168.8          6.4           77671.5
  Sep. 28     127.2        89.6         25.2        12.3       0.0   185.1      -58.0       -48.0         71.6           78503.4
  Sep. 27     120.6        84.3         24.5        11.8       0.0   632.5     -511.9       -22.6        100.0           78618.2
  Sep. 26     160.4       112.4         32.6        15.4       0.0   197.9      -37.5       123.0        166.6           79631.8
  Sep. 25     183.6       129.5         36.6        17.4       0.0     0.0      183.6       174.8        189.8           79706.0
  Sep. 24     184.0       129.7         36.7        17.5       0.0     0.0      184.0       181.5        192.8           79342.5
  Sep. 23     174.5       123.0         35.0        16.5       0.0   105.6       68.9       191.3        171.5           78978.3
  Sep. 22     216.1       152.8         43.3        20.1       0.0     0.1      216.0       222.6        184.0           78841.9
  Sep. 21     221.3       156.9         44.1        20.4       0.0     0.0      221.3       210.2        186.6           78414.2
  Sep. 20     217.3       153.6         43.5        20.1       0.0     0.0      217.3       204.8        188.4           77976.0
  Sep. 19     232.8       164.8         46.3        21.7       0.0     0.0      232.8       204.2        190.1           77545.8
  Sep. 18     225.7       159.9         44.9        20.8       0.0     0.0      225.7       151.8        190.4           77084.8
  Sep. 17     196.4       138.9         39.2        18.3       0.0    42.6      153.7       145.5        191.9           76638.0
  Sep. 16     209.4       148.1         42.1        19.2       0.0    14.9      194.5       163.1        186.5           76333.6
  Sep. 15     214.4       151.7         42.9        19.7       0.0     0.2      214.1       171.9        192.4           75948.5
  Sep. 14     238.1       169.2         47.2        21.7       0.0   266.9      -28.8       176.0        195.6           75524.5
  Sep. 13     217.9       154.2         43.7        20.0       0.0    24.1      193.7       229.0        226.8           75581.6
  Sep. 12     245.1       174.7         48.3        22.2       0.0     3.0      242.2       238.3        231.4           75198.0
  Sep. 11     238.5       169.8         47.0        21.6       0.0     0.0      238.5       209.9        234.1           74718.6
  Sep. 10     234.3       166.4         46.6        21.4       0.0     0.0      234.3       212.8        236.4           74246.4
  Sep.  9     236.1       167.8         46.9        21.4       0.0     0.0      236.1       215.3        239.2           73782.4
  Sep.  8     240.7       171.4         47.5        21.8       0.0     0.0      240.7       224.6        239.7           73315.0
  Sep.  7     244.3       175.7         47.1        21.5       0.0   144.3      100.0       224.4        199.6           72838.4
  Sep.  6     252.8       181.8         48.7        22.3       0.0     0.0      252.8       258.3        192.6           72640.5
  Sep.  5     247.0       177.7         47.5        21.9       0.0     0.0      247.0       260.1        186.6           72139.9
  Sep.  4     282.6       203.6         54.7        24.4       0.0     0.0      282.6       263.1        151.0           71650.7
  Sep.  3     269.6       193.7         52.5        23.4       0.0    29.8      239.7       254.8        146.1           71091.1
  Sep.  2     269.0       193.1         52.6        23.3       0.0     0.0      269.0       174.8        141.2           70616.4
  Sep.  1     262.0       188.7         50.4        22.8       0.0     0.0      262.0       127.0        123.4           70083.7
  Aug. 31     261.9       188.2         51.0        22.8       0.0     0.0      261.9       113.1        117.5           69565.0
  Aug. 30     241.4       173.8         46.8        20.8       0.0     0.0      241.4        39.0         96.7           69046.4
  Aug. 29     253.9       183.4         48.8        21.7       0.0   414.4     -160.5        37.4         74.6           68568.5
  Aug. 28     253.0       182.6         48.8        21.6       0.0   223.0       30.1       107.7        118.4           68886.4
  Aug. 27     254.6       183.9         49.0        21.7       0.0    62.1      192.5       119.9        144.7           68826.8
  Aug. 26     244.3       176.2         47.1        21.0       0.0   352.5     -108.2       122.0        155.0           68445.7
  Aug. 25     236.5       170.1         45.9        20.4       0.0     3.1      233.3       154.4        193.0           68660.0
  Aug. 24     220.4       158.7         43.2        18.6       0.0    29.5      190.9       111.8        196.6           68198.0
  Aug. 23     248.0       179.3         47.5        21.1       0.0   157.0       90.9       129.1        168.3           67819.9
  Aug. 22     257.3       186.1         49.4        21.8       0.0    54.3      203.0       169.5        173.3           67639.9
  Aug. 21     233.1       168.4         45.2        19.5       0.0   179.3       53.8       188.0        176.0           67238.0
  Aug. 20     214.1       154.1         42.0        18.0       0.0   193.7       20.5       231.6        139.7           67131.5
  Aug. 19     277.2       200.2         53.9        23.1       0.0     0.0      277.2       281.4        139.2           67090.9
  Aug. 18     293.1       212.4         56.5        24.2       0.0     0.0      293.1       207.5        141.3           66542.1
  Aug. 17     295.5       214.3         56.7        24.4       0.0     0.0      295.5       177.1        139.7           65961.8
  Aug. 16     272.0       196.5         52.8        22.6       0.0     0.0      272.0       163.9        138.7           65376.8
  Aug. 15     269.1       193.9         52.6        22.6       0.0     0.0      269.1        47.8        130.5           64838.3
  Aug. 14     277.3       200.4         53.8        23.0       0.0   369.2      -92.0        -2.9        128.4           64305.5
  Aug. 13     278.6       201.6         53.9        23.1       0.0   137.4      141.2        75.0        150.6           64487.6
  Aug. 12     239.1       173.2         46.1        19.8       0.0     9.6      229.5       102.2        164.2           64208.1
  Aug. 11     248.6       180.2         47.9        20.5       0.0   557.3     -308.8       113.5        170.2           63753.7
  Aug. 10     292.6       212.4         56.2        24.1       0.0   277.1       15.6       213.2        223.0           64365.1
  Aug.  9     297.5       216.4         57.0        24.1       0.0     0.0      297.5       259.8        193.2           64334.2
  Aug.  8     278.0       201.7         53.9        22.4       0.0     0.9      277.1       226.1        193.2           63745.2
  Aug.  7     289.3       210.3         55.8        23.2       0.0     3.3      286.0       226.2        188.6           63196.4
  Aug.  6     286.3       208.1         55.2        23.0       0.0    96.7      189.6       227.0        166.8           62630.1
  Aug.  5     290.7       211.6         55.9        23.3       0.0    42.1      248.6       232.9        119.0           62254.8
  Aug.  4     284.9       207.1         54.9        22.9       0.0   155.7      129.2       126.6        122.5           61762.5
  Aug.  3     311.8       227.5         59.5        24.8       0.0    34.4      277.4       160.2        134.3           61506.6
  Aug.  2     290.0       211.0         55.9        23.2       0.0     0.0      290.0       150.9        132.5           60957.4
  Aug.  1     250.9       182.8         48.1        19.9       0.0    31.8      219.0       106.6         96.1           60383.1
  July 31     258.9       188.6         49.9        20.4       0.0   541.6     -282.7         5.1         77.6           59949.5
  July 30     301.2       219.4         57.7        24.1       0.0     3.9      297.3       118.4        136.1           60509.2
  July 29     301.6       219.9         57.7        24.1       0.0    70.5      231.1       108.3        117.3           59920.5
  July 28     265.6       192.6         51.6        21.5       0.0   197.1       68.5       114.0        126.4           59463.0
  July 27     287.3       208.9         55.4        23.0       0.0   576.0     -288.7        85.5        146.6           59327.3
  July 26     297.7       217.0         57.0        23.8       0.0    14.0      283.7       150.0        205.8           59899.0
  July 25     287.8       209.4         55.3        23.1       0.0    40.7      247.1       153.8        207.1           59337.2
